longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Bahia, Brazil",,,,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,,,
"Ontario, Canada",,0.05282716639058258,,,,0.22037622524087175,0.32109731017942883,0.4585264645796994,,,,0.5925378527288372,0.2871555480316998,0.12030659923946309
"Kano, Nigeria",,,,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,,,
"Pennsylvania, USA",0.1179798183879236,,0.3751191516136298,0.30287689479307817,0.3220039535932921,,,,0.6520405591748355,0.24195613857303436,0.10600330225213002,,,
"National Capital Region, Philippines",,,,,,,,,,,,,,
"Illinois, USA",0.11838032673867893,,0.3521671491422171,0.29120757734495883,0.35662527351282414,,,,0.6191092879869124,0.249498507862274,0.1313922041508137,,,
"Moskva, Russia",,,,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,,,
"Ohio, USA",0.13351448399213062,,0.408160194036129,0.3123479323506445,0.2794918736132264,,,,0.6770268005644682,0.23466293126313295,0.08831026817239898,,,
"Uttarākhand, India",,,,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,,,
"Georgia, USA",0.13916990088891873,,0.3896795721631241,0.3027324813305419,0.30758794650633403,,,,0.6686541907642706,0.2241587657672559,0.10718704346847362,,,
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,,,
"North Carolina, USA",0.13670465639786109,,0.41895407033604287,0.30349827784927125,0.2775476518146859,,,,0.6894539097441496,0.21467154897448487,0.09587454128136569,,,
"Al Qāhirah, Egypt",,,,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,,,
"Michigan, USA",0.1329946893406326,,0.39977012773250203,0.3113394241990768,0.2888904480684213,,,,0.6781329224520618,0.22776830541326828,0.09409877213466981,,,
"Pernambuco, Brazil",,,,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,,,
"New Jersey, USA",0.09757214484469502,,0.28611790943855625,0.26022390850825766,0.4536581820531862,,,,0.5604366011258751,0.2583881315744202,0.18117526729970468,,,
"Azerbaijan, Azerbaijan",,,,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,,,
"Virginia, USA",0.09939517121879318,,0.3105985684949758,0.2856921466585196,0.4037092848465046,,,,0.5938055444594816,0.24356010684010446,0.16263434870041388,,,
"Katsina, Nigeria",,,,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,,,
"Quebec, Canada",,0.053118961294539274,,,,0.3120891702444232,0.3500078560306934,0.3379029737248833,,,,0.6149449768398657,0.30273650777974737,0.08231851538038679
"Lampung, Indonesia",,,,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,,,
"Washington, USA",0.09987252663975378,,0.293609966973647,0.29701216167523836,0.4093778713511146,,,,0.5849444174443406,0.2559786995003524,0.15907688305530712,,,
"Jakarta Raya, Indonesia",,,,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,,,
"Arizona, USA",0.13498022964993558,,0.3770782584457835,0.31660404455726665,0.30631769699694983,,,,0.6700163855547014,0.2257658783827757,0.10421773606252278,,,
"Ningxia Zizhiiqu, China",,,,,,,,,,,,,,
"Massachusetts, USA",0.09896649282140434,,0.29708318566663816,0.251328681923943,0.4515881324094188,,,,0.5613944835948778,0.264329619475688,0.17427589692943427,,,
"Ashanti, Ghana",,,,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,,,
"Tennessee, USA",0.1428272616713564,,0.4311323022376749,0.30974832444619393,0.2591193733161313,,,,0.7083495284276924,0.2077925585657609,0.08385791300654669,,,
"Tigray, Ethiopia",,,,,,,,,,,,,,
"Indiana, USA",0.12502135195952102,,0.40399992831534004,0.3261027142180104,0.26989735746664967,,,,0.6904483397494281,0.22765177118119959,0.08189988906937223,,,
"Akwa Ibom, Nigeria",,,,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,,,,
"Maryland, USA",0.09157571386287583,,0.26853396798340634,0.27301457725002276,0.45845145476657073,,,,0.5457599980177877,0.2719678978756693,0.18227210410654301,,,
"Missouri, USA",0.12768668909648523,,0.4127450648026351,0.3149549408677233,0.2722999943296415,,,,0.6902642393189211,0.2232100858014684,0.08652567487961056,,,
"Antioquia, Colombia",,,,,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,,,,
"Wisconsin, USA",0.10662780714153551,,0.366236963085209,0.33120335120703515,0.302559685707756,,,,0.6495459111554416,0.26309915978950205,0.08735492905505629,,,
"Ankara, Turkey",,,,,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,,,,
"Colorado, USA",0.09561742184620359,,0.3007220633047649,0.3023433057096706,0.39693463098556453,,,,0.5899823133419018,0.26538268762308426,0.14463499903501395,,,
"Abidjan, Ivory Coast",,,,,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,,,,
"Minnesota, USA",0.09230208637216707,,0.31357948315405326,0.3095664372617469,0.3768540795841998,,,,0.6045705768945285,0.27347682148411595,0.12195260162135552,,,
"Baghdād, Iraq",,,,,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,,,,
"Kasaï Central, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Nusa Tenggara Timur, Indonesia",,,,,,,,,,,,,,
"Grand Est, France",,,,,,,,,,,,,,
"Scotland, United Kingdom",,,,,,,,,,,,,,
"Imo, Nigeria",,,,,,,,,,,,,,
"Khūzestān, Iran",,,,,,,,,,,,,,
"Ādīs Ābeba, Ethiopia",,,,,,,,,,,,,,
"Sumatera Barat, Indonesia",,,,,,,,,,,,,,
"Hokkaidô, Japan",,,,,,,,,,,,,,
"Mazowieckie, Poland",,,,,,,,,,,,,,
"Greater Accra, Ghana",,,,,,,,,,,,,,
"Hyôgo, Japan",,,,,,,,,,,,,,
"Cebu, Philippines",,,,,,,,,,,,,,
"Zinder, Niger",,,,,,,,,,,,,,
"Sūhāj, Egypt",,,,,,,,,,,,,,
"Sokoto, Nigeria",,,,,,,,,,,,,,
"Nuevo León, Mexico",,,,,,,,,,,,,,
"Queensland, Australia",,,,,,,,,,,,,,
"Sankt-Peterburg, Russia",,,,,,,,,,,,,,
"Koshi, Nepal",,,,,,,,,,,,,,
"Nairobi City, Kenya",,,,,,,,,,,,,,
"Michoacán de Ocampo, Mexico",,,,,,,,,,,,,,
"South Carolina, USA",0.14523412298272392,,0.43321824801700065,0.3069715215472094,0.2598102304357899,,,,0.7039678062624883,0.21108101804388235,0.08495117569362928,,,
"Sīdama, Ethiopia",,,,,,,,,,,,,,
"Analamanga, Madagascar",,,,,,,,,,,,,,
"Hukuoka, Japan",,,,,,,,,,,,,,
"Rabat-Salé-Kénitra, Morocco",,,,,,,,,,,,,,
"Nusa Tenggara Barat, Indonesia",,,,,,,,,,,,,,
"Valenciana, Comunidad, Spain",,,,,,,,,,,,,,
"Tahoua, Niger",,,,,,,,,,,,,,
"Alabama, USA",0.1578534571229525,,0.46060213535599165,0.29353817661752624,0.24585968802648214,,,,0.7159151960112696,0.204035915530168,0.08004888845856231,,,
"Kalimantan Barat, Indonesia",,,,,,,,,,,,,,
"British Columbia, Canada",,0.05773809831996,,,,0.24584412767588745,0.32521533463863656,0.428940537685476,,,,0.5990205844165697,0.2892555416520046,0.11172387393142562
"Bago, Myanmar",,,,,,,,,,,,,,
"Provence-Alpes-Côte d'Azur, France",,,,,,,,,,,,,,
"Marrakech-Safi, Morocco",,,,,,,,,,,,,,
"Asyūţ, Egypt",,,,,,,,,,,,,,
"Veneto, Italy",,,,,,,,,,,,,,
"Zamfara, Nigeria",,,,,,,,,,,,,,
"Kebbi, Nigeria",,,,,,,,,,,,,,
"Enugu, Nigeria",,,,,,,,,,,,,,
"Janūb Dārfūr, Sudan",,,,,,,,,,,,,,
"Ituri, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Eşfahān, Iran",,,,,,,,,,,,,,
"Centre, Burkina Faso",,,,,,,,,,,,,,
"Valle del Cauca, Colombia",,,,,,,,,,,,,,
"Kasaï, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Sicilia, Italy",,,,,,,,,,,,,,
"Osun, Nigeria",,,,,,,,,,,,,,
"Adamawa, Nigeria",,,,,,,,,,,,,,
"Ḩalab, Syria",,,,,,,,,,,,,,
"Ondo, Nigeria",,,,,,,,,,,,,,
"Sud-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Qinā, Egypt",,,,,,,,,,,,,,
"Aceh, Indonesia",,,,,,,,,,,,,,
"Louisiana, USA",0.1876813068668031,,0.4723849609913944,0.27514129752111977,0.25247374148748586,,,,0.7053175213041168,0.20673445718358657,0.08794802151229661,,,
"Fès-Meknès, Morocco",,,,,,,,,,,,,,
"Mpumalanga, South Africa",,,,,,,,,,,,,,
"Toshkent (Province), Uzbekistan",,,,,,,,,,,,,,
"Bali, Indonesia",,,,,,,,,,,,,,
"Maradi, Niger",,,,,,,,,,,,,,
"Littoral, Cameroon",,,,,,,,,,,,,,
"Plateau, Nigeria",,,,,,,,,,,,,,
"Oaxaca, Mexico",,,,,,,,,,,,,,
"Emilia-Romagna, Italy",,,,,,,,,,,,,,
"Kentucky, USA",0.16267845917340237,,0.4554169250924534,0.3033384211115577,0.241244653795989,,,,0.7206204034861841,0.20782285252092023,0.07155674399289567,,,
"Edo, Nigeria",,,,,,,,,,,,,,
"Lumbinī, Nepal",,,,,,,,,,,,,,
"Guayas, Ecuador",,,,,,,,,,,,,,
"Śląskie, Poland",,,,,,,,,,,,,,
"Kasaï Oriental, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Tillabéri, Niger",,,,,,,,,,,,,,
"Al Minūfīyah, Egypt",,,,,,,,,,,,,,
"Far North, Cameroon",,,,,,,,,,,,,,
"Kermān, Iran",,,,,,,,,,,,,,
"Piemonte, Italy",,,,,,,,,,,,,,
"Al Jazīrah, Sudan",,,,,,,,,,,,,,
"Amazonas, Brazil",,,,,,,,,,,,,,
"Ozama, Dominican Republic",,,,,,,,,,,,,,
"Alberta, Canada",,0.04544270050493683,,,,0.19460637068310302,0.3169997895389253,0.48839383977797163,,,,0.5531448434971961,0.30161487322811287,0.14524028327469102
"Oregon, USA",0.12075289480632653,,0.35724164693619287,0.3092878102999344,0.3334705427638726,,,,0.6507593043862219,0.23554052829216984,0.11370016732160836,,,
"Kalimantan Selatan, Indonesia",,,,,,,,,,,,,,
"Sverdlovskaya oblast', Russia",,,,,,,,,,,,,,
"Rostovskaya oblast', Russia",,,,,,,,,,,,,,
"Bashkortostan, Respublika, Russia",,,,,,,,,,,,,,
"Nīnawá, Iraq",,,,,,,,,,,,,,
"Tanganyika, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Rheinland-Pfalz, Germany",,,,,,,,,,,,,,
"Sachsen, Germany",,,,,,,,,,,,,,
"Donets'ka oblast, Ukraine",,,,,,,,,,,,,,
"Espírito Santo, Brazil",,,,,,,,,,,,,,
"Paraíba, Brazil",,,,,,,,,,,,,,
"Bulacan, Philippines",,,,,,,,,,,,,,
"Zulia, Venezuela",,,,,,,,,,,,,,
"Tripura, India",,,,,,,,,,,,,,
"Kalimantan Timur, Indonesia",,,,,,,,,,,,,,
"Cavite, Philippines",,,,,,,,,,,,,,
"Abia, Nigeria",,,,,,,,,,,,,,
"Mwanza, Tanzania",,,,,,,,,,,,,,
"Tanger-Tétouan-Al Hoceïma, Morocco",,,,,,,,,,,,,,
"Ekiti, Nigeria",,,,,,,,,,,,,,
"P’yŏngan-namdo [Phyeongannamto], North Korea",,,,,,,,,,,,,,
"Al ‘A̅şimah, Jordan",,,,,,,,,,,,,,
"North-West, South Africa",,,,,,,,,,,,,,
"Kongo Central, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Oklahoma, USA",0.15213173638315775,,0.43870011896319555,0.3136026435147636,0.24769723752204087,,,,0.7037945490650802,0.2166335926432039,0.07957185829171588,,,
"İzmir, Turkey",,,,,,,,,,,,,,
"Guerrero, Mexico",,,,,,,,,,,,,,
"Sikasso, Mali",,,,,,,,,,,,,,
"Tatarstan, Respublika, Russia",,,,,,,,,,,,,,
"Tā‘izz, Yemen",,,,,,,,,,,,,,
"Maritime (Région), Togo",,,,,,,,,,,,,,
"Puglia, Italy",,,,,,,,,,,,,,
"Kafr ash Shaykh, Egypt",,,,,,,,,,,,,,
"Sabah, Malaysia",,,,,,,,,,,,,,
"Magway, Myanmar",,,,,,,,,,,,,,
"Samarqand, Uzbekistan",,,,,,,,,,,,,,
"Meghālaya, India",,,,,,,,,,,,,,
"Johor, Malaysia",,,,,,,,,,,,,,
"Farg'ona, Uzbekistan",,,,,,,,,,,,,,
"Pays de la Loire, France",,,,,,,,,,,,,,
"Al Fayyūm, Egypt",,,,,,,,,,,,,,
"Banaadir, Somalia",,,,,,,,,,,,,,
"Eastern Equatoria, South Sudan",,,,,,,,,,,,,,
"Zuid-Holland, Netherlands",,,,,,,,,,,,,,
"Est, Rwanda",,,,,,,,,,,,,,
"Attikí, Greece",,,,,,,,,,,,,,
"Jambi, Indonesia",,,,,,,,,,,,,,
"Yobe, Nigeria",,,,,,,,,,,,,,
"Yogyakarta, Indonesia",,,,,,,,,,,,,,
"Huíla, Angola",,,,,,,,,,,,,,
"Lusaka, Zambia",,,,,,,,,,,,,,
"wallonne, Région, Belgium",,,,,,,,,,,,,,
"Santa Fe, Argentina",,,,,,,,,,,,,,
"Córdoba, Argentina",,,,,,,,,,,,,,
"Rio Grande do Norte, Brazil",,,,,,,,,,,,,,
"Ebonyi, Nigeria",,,,,,,,,,,,,,
"Azad Jammu and Kashmir, Pakistan",,,,,,,,,,,,,,
"Toscana, Italy",,,,,,,,,,,,,,
"Connecticut, USA",0.10031623846773782,,0.30696875845533655,0.27039900553318263,0.4226322360114808,,,,0.5757024930466114,0.2595883109053733,0.1647091960480152,,,
"Chihuahua, Mexico",,,,,,,,,,,,,,
"Tamaulipas, Mexico",,,,,,,,,,,,,,
"Dakar, Senegal",,,,,,,,,,,,,,
"Al Ḩudaydah, Yemen",,,,,,,,,,,,,,
"Mato Grosso, Brazil",,,,,,,,,,,,,,
"Ibb, Yemen",,,,,,,,,,,,,,
"Kwilu, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Berlin, Germany",,,,,,,,,,,,,,
"Shamāl Dārfūr, Sudan",,,,,,,,,,,,,,
"Bamako, Mali",,,,,,,,,,,,,,
"Wielkopolskie, Poland",,,,,,,,,,,,,,
"Busan-gwangyeoksi, South Korea",,,,,,,,,,,,,,
"Chelyabinskaya oblast', Russia",,,,,,,,,,,,,,
"Kwara, Nigeria",,,,,,,,,,,,,,
"Baja California, Mexico",,,,,,,,,,,,,,
"Dagestan, Respublika, Russia",,,,,,,,,,,,,,
"Khatlon, Tajikistan",,,,,,,,,,,,,,
"Tete, Mozambique",,,,,,,,,,,,,,
"Gyeongsangnam-do, South Korea",,,,,,,,,,,,,,
"Thanh Hóa, Vietnam",,,,,,,,,,,,,,
"Cross River, Nigeria",,,,,,,,,,,,,,
"Guatemala, Guatemala",,,,,,,,,,,,,,
"Alagoas, Brazil",,,,,,,,,,,,,,
"Laguna, Philippines",,,,,,,,,,,,,,
"Banī Suwayf, Egypt",,,,,,,,,,,,,,
"Małopolskie, Poland",,,,,,,,,,,,,,
"Manipur, India",,,,,,,,,,,,,,
"Pangasinan, Philippines",,,,,,,,,,,,,,
"Hidalgo, Mexico",,,,,,,,,,,,,,
"Piauí, Brazil",,,,,,,,,,,,,,
"Kindia, Guinea",,,,,,,,,,,,,,
"Bretagne, France",,,,,,,,,,,,,,
"Sudūr Pashchim, Nepal",,,,,,,,,,,,,,
"Bursa, Turkey",,,,,,,,,,,,,,
"Santa Cruz, Bolivia",,,,,,,,,,,,,,
"P’yŏngyang [Phyeongyang], North Korea",,,,,,,,,,,,,,
"Puerto Rico, USA",0.4267335553156091,,0.7940027337010676,0.15268828937933174,0.05330897691960069,,,,0.9222000789349196,0.05968132287340042,0.018118598191680105,,,
"Normandie, France",,,,,,,,,,,,,,
"Utah, USA",0.08750014138974109,,0.2907132097777731,0.332673213686242,0.37661357653598493,,,,0.6550967655515445,0.23695324219981553,0.10794999224863999,,,
"Hamgyŏng-namdo [Hamkyeongnamto], North Korea",,,,,,,,,,,,,,
"Taraba, Nigeria",,,,,,,,,,,,,,
"Qashqadaryo, Uzbekistan",,,,,,,,,,,,,,
"Tabora, Tanzania",,,,,,,,,,,,,,
"Ouest, Haiti",,,,,,,,,,,,,,
"Ðồng Nai, Vietnam",,,,,,,,,,,,,,
"Āz̄arbāyjān-e Gharbī, Iran",,,,,,,,,,,,,,
"Al Başrah, Iraq",,,,,,,,,,,,,,
"nohiyahoi tobei jumhurí, Tajikistan",,,,,,,,,,,,,,
"Ségou, Mali",,,,,,,,,,,,,,
"Amānat al ‘Āşimah [city], Yemen",,,,,,,,,,,,,,
"Samarskaya oblast', Russia",,,,,,,,,,,,,,
"Negros Occidental, Philippines",,,,,,,,,,,,,,
"Iowa, USA",0.11012618175852501,,0.3785074453735419,0.33026750675802896,0.2912250478684291,,,,0.666373914031545,0.25061063700181635,0.0830154489666387,,,
"Āz̄arbāyjān-e Sharqī, Iran",,,,,,,,,,,,,,
"Kagera, Tanzania",,,,,,,,,,,,,,
"Xizang Zizhiqu, China",,,,,,,,,,,,,,
