longname
"Honfleur Municipalité, Bellechasse CRM, Quebec, Canada"
"Leader Town, Division No. 8, Saskatchewan, Canada"
"Wallace No. 243 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Saint-Nazaire-d'Acton Paroisse, Acton CRM, Quebec, Canada"
"Andover Parish, Victoria County, New Brunswick, Canada"
"Chesterville Municipalité, Arthabaska CRM, Quebec, Canada"
"Saint-Paul Parish, Kent County, New Brunswick, Canada"
"Whycocomagh 2 Indian Reserve, Inverness County, Nova Scotia, Canada"
"O'Leary Town, Prince County, Prince Edward Island, Canada"
"Alberni-Clayoquot C Regional District Electoral Area, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Kimosom Pwatinahk 203 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Unipouheos 121 Indian Reserve, Division No. 12, Alberta, Canada"
"Division No. 1, Subd. L, Division No. 1, Newfoundland and Labrador, Canada"
"Rexton Village, Kent County, New Brunswick, Canada"
"Saint-David Municipalité, Pierre-De Saurel CRM, Quebec, Canada"
"Churchill Town, Division No. 23, Manitoba, Canada"
"Lashburn Town, Division No. 17, Saskatchewan, Canada"
"Sainte-Hedwidge Municipalité, Le Domaine-du-Roy CRM, Quebec, Canada"
"Fraser Valley B Regional District Electoral Area, Fraser Valley Regional district, British Columbia, Canada"
"Coronation Town, Division No. 7, Alberta, Canada"
"Saint-Marc-de-Figuery Paroisse, Abitibi CRM, Quebec, Canada"
"Division No. 8, Subd. F, Division No. 8, Newfoundland and Labrador, Canada"
"Notre-Dame-du-Sacré-Coeur-d'Issoudun Paroisse, Lotbinière CRM, Quebec, Canada"
"Churchbridge Town, Division No. 5, Saskatchewan, Canada"
"Pointe-Verte Village, Gloucester County, New Brunswick, Canada"
"Alberta Beach Village, Division No. 13, Alberta, Canada"
"Strathcona A Regional District Electoral Area, Strathcona Regional district, British Columbia, Canada"
"Huberdeau Municipalité, Les Laurentides CRM, Quebec, Canada"
"Saint-Léon-le-Grand Paroisse, Maskinongé CRM, Quebec, Canada"
"Temagami Municipality, Nipissing District, Ontario, Canada"
"Saint-Léonard Parish, Madawaska County, New Brunswick, Canada"
"Sainte-Monique Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Ham-Nord Canton, Arthabaska CRM, Quebec, Canada"
"Leask No. 464 Rural Municipality, Division No. 16, Saskatchewan, Canada"
"Natuashish 2 Indian Reserve, Division No. 10, Newfoundland and Labrador, Canada"
"Sainte-Aurélie Municipalité, Les Etchemins CRM, Quebec, Canada"
"Lotbinière Municipalité, Lotbinière CRM, Quebec, Canada"
"Hythe Village, Division No. 19, Alberta, Canada"
"Chipman Parish, Queens County, New Brunswick, Canada"
"Sainte-Cécile-de-Whitton Municipalité, Le Granit CRM, Quebec, Canada"
"Kitscoty Village, Division No. 10, Alberta, Canada"
"Wolseley Town, Division No. 5, Saskatchewan, Canada"
"Bégin Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Howick Municipalité, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"James Smith 100 Indian Reserve, Division No. 15, Saskatchewan, Canada"
"Sainte-Famille-de-l'Île-d'Orléans Municipalité, L'Île-d'Orléans CRM, Quebec, Canada"
"Miscouche Fire District, Prince County, Prince Edward Island, Canada"
"Saint-Paul-de-Montminy Municipalité, Montmagny CRM, Quebec, Canada"
"Spirit River Town, Division No. 19, Alberta, Canada"
"Bashaw Town, Division No. 10, Alberta, Canada"
"Chénéville Municipalité, Papineau CRM, Quebec, Canada"
"Nain Town, Division No. 11, Newfoundland and Labrador, Canada"
"Buffalo River Dene Nation Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Hudson's Hope District Municipality, Peace River Regional district, British Columbia, Canada"
"Notre-Dame-de-la-Salette Municipalité, Les Collines-de-l'Outaouais CRM, Quebec, Canada"
"Saint-Pierre-de-la-Rivière-du-Sud Paroisse, Montmagny CRM, Quebec, Canada"
"Masset Village, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Kangiqsujuaq Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Moose Lake 31A Indian Reserve, Division No. 21, Manitoba, Canada"
"Bulkley-Nechako G Regional District Electoral Area, Bulkley-Nechako Regional district, British Columbia, Canada"
"Loon Lake No. 561 Rural Municipality, Division No. 17, Saskatchewan, Canada"
"Saint-Épiphane Municipalité, Rivière-du-Loup CRM, Quebec, Canada"
"Saint-Donat Paroisse, La Mitis CRM, Quebec, Canada"
"Stanbridge East Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Nemaska Terres réservées aux Cris, Nord-du-Québec CDR, Quebec, Canada"
"Southey Town, Division No. 6, Saskatchewan, Canada"
"Clearwater River Dene 222 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Division No. 7, Subd. F, Division No. 7, Newfoundland and Labrador, Canada"
"Ellice-Archie Rural Municipality, Division No. 15, Manitoba, Canada"
"Division No. 1, Subd. O, Division No. 1, Newfoundland and Labrador, Canada"
"Hemmingford Village, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Kelvington Town, Division No. 14, Saskatchewan, Canada"
"Boyle Village, Division No. 13, Alberta, Canada"
"Milk River Town, Division No. 2, Alberta, Canada"
"LaScie Town, Division No. 8, Newfoundland and Labrador, Canada"
"Sainte-Marie-Saint-Raphaël Village, Gloucester County, New Brunswick, Canada"
"Chemainus 13 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Saint-Philippe-de-Néri Paroisse, Kamouraska CRM, Quebec, Canada"
"Porcupine Plain Town, Division No. 14, Saskatchewan, Canada"
"Saint-Étienne-de-Bolton Municipalité, Memphrémagog CRM, Quebec, Canada"
"Notre-Dame-de-Montauban Municipalité, Mékinac CRM, Quebec, Canada"
"Saint-Aimé-du-Lac-des-Îles Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Wabaseemoong Indian Reserve, Kenora District, Ontario, Canada"
"Courcelles Municipalité, Le Granit CRM, Quebec, Canada"
"Tadoussac Village, La Haute-Côte-Nord CRM, Quebec, Canada"
"Sasman No. 336 Rural Municipality, Division No. 10, Saskatchewan, Canada"
"Aberdeen Parish, Carleton County, New Brunswick, Canada"
"Saint-Séverin Paroisse, Mékinac CRM, Quebec, Canada"
"Star City No. 428 Rural Municipality, Division No. 14, Saskatchewan, Canada"
"Saint-Isidore Village, Gloucester County, New Brunswick, Canada"
"Borden Fire District, Prince County, Prince Edward Island, Canada"
"Cape St. George Town, Division No. 4, Newfoundland and Labrador, Canada"
"God's River 86A Indian Reserve, Division No. 22, Manitoba, Canada"
"Doaktown Village, Northumberland County, New Brunswick, Canada"
"Excelsior No. 166 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Gore Bay Town, Manitoulin District, Ontario, Canada"
"Forestburg Village, Division No. 7, Alberta, Canada"
"Manseau Municipalité, Bécancour CRM, Quebec, Canada"
"Biggar No. 347 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"La Patrie Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"O'Chiese 203 Indian Reserve, Division No. 9, Alberta, Canada"
"Saint-Edmond-de-Grantham Paroisse, Drummond CRM, Quebec, Canada"
"Castor Town, Division No. 7, Alberta, Canada"
"Saint-Henri-de-Taillon Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Canal Flats Village, East Kootenay Regional district, British Columbia, Canada"
"Hoodoo No. 401 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Seabird Island Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Cote 64 Indian Reserve, Division No. 9, Saskatchewan, Canada"
"Conmee Township, Thunder Bay District, Ontario, Canada"
"Saint-Édouard-de-Maskinongé Municipalité, Maskinongé CRM, Quebec, Canada"
"Oujé-Bougoumou Terres réservées aux Cris, Nord-du-Québec CDR, Quebec, Canada"
"Sliammon 1 First Nation, Powell River Regional district, British Columbia, Canada"
"Sainte-Gertrude-Manneville Municipalité, Abitibi CRM, Quebec, Canada"
"Kuujjuarapik Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Kiamika Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Notre-Dame-de-Pontmain Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Daysland Town, Division No. 7, Alberta, Canada"
"Notre-Dame-des-Monts Municipalité, Charlevoix-Est CRM, Quebec, Canada"
"Borden-Carleton Town, Prince County, Prince Edward Island, Canada"
"La Vallee Township, Rainy River District, Ontario, Canada"
"Strasbourg Town, Division No. 6, Saskatchewan, Canada"
"Gagetown Village, Queens County, New Brunswick, Canada"
"Lacadena No. 228 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Notre-Dame-de-Lourdes Paroisse, L'Érable CRM, Quebec, Canada"
"Saint-Sylvère Municipalité, Bécancour CRM, Quebec, Canada"
"Carmanville Town, Division No. 8, Newfoundland and Labrador, Canada"
"Hepburn Town, Division No. 15, Saskatchewan, Canada"
"Queen Charlotte Village, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Saint-Charles-de-Bourget Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Saugeen 29 Indian Reserve, Bruce County, Ontario, Canada"
"La Durantaye Paroisse, Bellechasse CRM, Quebec, Canada"
"La Corne Municipalité, Abitibi CRM, Quebec, Canada"
"Normétal Municipalité, Abitibi-Ouest CRM, Quebec, Canada"
"Radville Town, Division No. 2, Saskatchewan, Canada"
"Blissville Parish, Sunbury County, New Brunswick, Canada"
"Marston Canton, Le Granit CRM, Quebec, Canada"
"Clive Village, Division No. 8, Alberta, Canada"
"Drift Pile River 150 Indian Reserve, Division No. 17, Alberta, Canada"
"Fort Albany (Part) 67 Indian Reserve, Cochrane District, Ontario, Canada"
"Alix Village, Division No. 8, Alberta, Canada"
"Cudworth Town, Division No. 15, Saskatchewan, Canada"
"Sainte-Christine Paroisse, Acton CRM, Quebec, Canada"
"Hatley Municipalité, Memphrémagog CRM, Quebec, Canada"
"Lac-Delage Ville, La Jacques-Cartier CRM, Quebec, Canada"
"Alexis 133 Indian Reserve, Division No. 13, Alberta, Canada"
"Herbert Town, Division No. 7, Saskatchewan, Canada"
"Saint-Mathieu-d'Harricana Municipalité, Abitibi CRM, Quebec, Canada"
"Notre-Dame-Auxiliatrice-de-Buckland Paroisse, Bellechasse CRM, Quebec, Canada"
"Lepreau Parish, Charlotte County, New Brunswick, Canada"
"Mannville Village, Division No. 10, Alberta, Canada"
"Saint-Samuel Municipalité, Arthabaska CRM, Quebec, Canada"
"Carleton Parish, Kent County, New Brunswick, Canada"
"Cascapédia--Saint-Jules Municipalité, Bonaventure CRM, Quebec, Canada"
"Mount Waddington C Regional District Electoral Area, Mount Waddington Regional district, British Columbia, Canada"
"Salmon Cove Town, Division No. 1, Newfoundland and Labrador, Canada"
"Chapple Township, Rainy River District, Ontario, Canada"
"Cross Lake 19E Indian Reserve, Division No. 22, Manitoba, Canada"
"Gordon 86 Indian Reserve, Division No. 10, Saskatchewan, Canada"
"Saint-Honoré-de-Témiscouata Municipalité, Témiscouata CRM, Quebec, Canada"
"Pouce Coupe Village, Peace River Regional district, British Columbia, Canada"
"Ogden Municipalité, Memphrémagog CRM, Quebec, Canada"
"Sedgewick Town, Division No. 7, Alberta, Canada"
"Marktosis 15 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Big Island Lake Cree Territory Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Shoal River Indian Reserve 65A Indian Reserve, Division No. 19, Manitoba, Canada"
"Plummer Additional Township, Algoma District, Ontario, Canada"
"Val Rita-Harty Township, Cochrane District, Ontario, Canada"
"Carrot River 29A Indian Reserve, Division No. 14, Saskatchewan, Canada"
"Havelock Canton, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Aumond Canton, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Beiseker Village, Division No. 6, Alberta, Canada"
"Saint-Télesphore Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Billings Township, Manitoulin District, Ontario, Canada"
"Acadieville Parish, Kent County, New Brunswick, Canada"
"Rainy River Town, Rainy River District, Ontario, Canada"
"Val-des-Lacs Municipalité, Les Laurentides CRM, Quebec, Canada"
"Johnson Township, Algoma District, Ontario, Canada"
"Le Goulet Village, Gloucester County, New Brunswick, Canada"
"Cumberland House Cree Nation 20 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"McCreary Municipality, Division No. 17, Manitoba, Canada"
"Marsh Lake Unorganized, Yukon Territory, Yukon, Canada"
"Larder Lake Township, Timiskaming District, Ontario, Canada"
"Ryerson Township, Parry Sound District, Ontario, Canada"
"Rivière-Verte Village, Madawaska County, New Brunswick, Canada"
"Saint-Nérée-de-Bellechasse Municipalité, Bellechasse CRM, Quebec, Canada"
"Sechelt (Part) Indian Government District, Sunshine Coast Regional district, British Columbia, Canada"
"Tignish Town, Prince County, Prince Edward Island, Canada"
"Annapolis Valley First Nation Indian Reserve, Kings County, Nova Scotia, Canada"
"Saltcoats No. 213 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Port au Choix Town, Division No. 9, Newfoundland and Labrador, Canada"
"Saint-Cyrille-de-Lessard Paroisse, L'Islet CRM, Quebec, Canada"
"Constance Lake 92 Indian Reserve, Cochrane District, Ontario, Canada"
"Mistawasis 103 Indian Reserve, Division No. 16, Saskatchewan, Canada"
"Saint-Louis Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Sainte-Rose-de-Watford Municipalité, Les Etchemins CRM, Quebec, Canada"
"Tudor and Cashel Township, Hastings County, Ontario, Canada"
"Glenwood Town, Division No. 6, Newfoundland and Labrador, Canada"
"Port Alice Village, Mount Waddington Regional district, British Columbia, Canada"
"Saint-Camille-de-Lellis Paroisse, Les Etchemins CRM, Quebec, Canada"
"Sainte-Brigitte-des-Saults Paroisse, Drummond CRM, Quebec, Canada"
"Porcupine No. 395 Rural Municipality, Division No. 14, Saskatchewan, Canada"
"Saint-Basile Parish, Madawaska County, New Brunswick, Canada"
"Utikoomak Lake 155 Indian Reserve, Division No. 17, Alberta, Canada"
"Bolton-Ouest Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Division No. 10, Subd. D, Division No. 10, Newfoundland and Labrador, Canada"
"Dixville Municipalité, Coaticook CRM, Quebec, Canada"
"Grande-Anse Village, Gloucester County, New Brunswick, Canada"
"Drummond Village, Victoria County, New Brunswick, Canada"
"Waterhen 130 Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Fertile Belt No. 183 Rural Municipality, Division No. 5, Saskatchewan, Canada"
"Sioux Narrows-Nestor Falls Township, Kenora District, Ontario, Canada"
"Ituna Town, Division No. 10, Saskatchewan, Canada"
"Clark's Harbour Town, Shelburne County, Nova Scotia, Canada"
"Parkdale No. 498 Rural Municipality, Division No. 17, Saskatchewan, Canada"
"Red Sucker Lake 1976 Indian Reserve, Division No. 22, Manitoba, Canada"
"Three Lakes No. 400 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Peterview Town, Division No. 6, Newfoundland and Labrador, Canada"
"St. Peter No. 369 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Webequie Indian Reserve, Kenora District, Ontario, Canada"
"Robert's Arm Town, Division No. 8, Newfoundland and Labrador, Canada"
"White Bear 70 Indian Reserve, Division No. 1, Saskatchewan, Canada"
"Wollaston Township, Hastings County, Ontario, Canada"
"Fredericton Junction Village, Sunbury County, New Brunswick, Canada"
"Paquetville Village, Gloucester County, New Brunswick, Canada"
"Thompson-Nicola N (Beautiful Nicola Valley - South) Regional District Electoral Area, Thompson-Nicola Regional district, British Columbia, Canada"
"Aberdeen Town, Division No. 15, Saskatchewan, Canada"
"Duparquet Ville, Abitibi-Ouest CRM, Quebec, Canada"
"Cambridge-Narrows Village, Queens County, New Brunswick, Canada"
"Moosomin 112B Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Saint-Magloire Municipalité, Les Etchemins CRM, Quebec, Canada"
"South Saanich 1 Indian Reserve, Capital Regional district, British Columbia, Canada"
"Saint-Alphonse Municipalité, Bonaventure CRM, Quebec, Canada"
"Saint-Jacques-de-Leeds Municipalité, Les Appalaches CRM, Quebec, Canada"
"Saint-Romain Municipalité, Le Granit CRM, Quebec, Canada"
"Spring Lake Village, Division No. 11, Alberta, Canada"
"Petersville Parish, Queens County, New Brunswick, Canada"
"Saint Patrick Parish, Charlotte County, New Brunswick, Canada"
"Audet Municipalité, Le Granit CRM, Quebec, Canada"
"Béarn Municipalité, Témiscamingue CRM, Quebec, Canada"
"Norris Arm Town, Division No. 6, Newfoundland and Labrador, Canada"
"Saint-Zéphirin-de-Courval Paroisse, Nicolet-Yamaska CRM, Quebec, Canada"
"Watson Town, Division No. 10, Saskatchewan, Canada"
"Improvement District No. 24 Wood Buffalo Improvement District, Division No. 16, Alberta, Canada"
"Thunderchild First Nation 115B Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Campbell's Bay Municipalité, Pontiac CRM, Quebec, Canada"
"Chitek Lake 191 Indian Reserve, Division No. 16, Saskatchewan, Canada"
"Linden Village, Division No. 5, Alberta, Canada"
"Mayo Municipalité, Papineau CRM, Quebec, Canada"
"Sainte-Sophie-de-Lévrard Paroisse, Bécancour CRM, Quebec, Canada"
"Assiniboine 76 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Saint-Thomas-Didyme Municipalité, Maria-Chapdelaine CRM, Quebec, Canada"
"Sucker Creek 150A Indian Reserve, Division No. 17, Alberta, Canada"
"Greenwood City, Kootenay Boundary Regional district, British Columbia, Canada"
"John D'Or Prairie 215 Indian Reserve, Division No. 17, Alberta, Canada"
"Saint-Théophile Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Francis No. 127 Rural Municipality, Division No. 6, Saskatchewan, Canada"
"Eldon No. 471 Rural Municipality, Division No. 17, Saskatchewan, Canada"
"Mount Moriah Town, Division No. 5, Newfoundland and Labrador, Canada"
"Muskoday First Nation Indian Reserve, Division No. 15, Saskatchewan, Canada"
"Pine Creek 66A Indian Reserve, Division No. 19, Manitoba, Canada"
"Brigus Town, Division No. 1, Newfoundland and Labrador, Canada"
"Cupids Town, Division No. 1, Newfoundland and Labrador, Canada"
"Denare Beach Northern Village, Division No. 18, Saskatchewan, Canada"
"Addington Parish, Restigouche County, New Brunswick, Canada"
"Newport Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"Skidegate 1 Indian Reserve, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Blue Sea Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Bouchette Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"McLennan Town, Division No. 19, Alberta, Canada"
"Mount Waddington A Regional District Electoral Area, Mount Waddington Regional district, British Columbia, Canada"
"Bonne-Espérance Municipalité, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"L'Anse au Loup Town, Division No. 10, Newfoundland and Labrador, Canada"
"Saint-Sébastien Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Notre-Dame-de-Stanbridge Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Saint-Mathieu-de-Rioux Municipalité, Les Basques CRM, Quebec, Canada"
"Wagmatcook 1 Indian Reserve, Victoria County, Nova Scotia, Canada"
"Saint-Herménégilde Municipalité, Coaticook CRM, Quebec, Canada"
"Mundare Town, Division No. 10, Alberta, Canada"
"O'Connor Township, Thunder Bay District, Ontario, Canada"
"Victoria Beach Rural Municipality, Division No. 1, Manitoba, Canada"
"Haines Junction Village, Yukon Territory, Yukon, Canada"
"Saint-Didace Paroisse, D'Autray CRM, Quebec, Canada"
"Belcarra Village, Greater Vancouver Regional district, British Columbia, Canada"
"Eastern Kings Rural Municipality, Kings County, Prince Edward Island, Canada"
"North Battleford No. 437 Rural Municipality, Division No. 16, Saskatchewan, Canada"
"Charlton and Dack Municipality, Timiskaming District, Ontario, Canada"
"St. Peters Fire District, Kings County, Prince Edward Island, Canada"
"Beauval Northern Village, Division No. 18, Saskatchewan, Canada"
"Lac Baker Village, Madawaska County, New Brunswick, Canada"
"Cambridge Parish, Queens County, New Brunswick, Canada"
"La Visitation-de-l'Île-Dupas Municipalité, D'Autray CRM, Quebec, Canada"
"Waterborough Parish, Queens County, New Brunswick, Canada"
"Willow Creek No. 458 Rural Municipality, Division No. 14, Saskatchewan, Canada"
"Badger Town, Division No. 6, Newfoundland and Labrador, Canada"
"Milestone Town, Division No. 2, Saskatchewan, Canada"
"Wentworth Canton, Argenteuil CRM, Quebec, Canada"
"Saint-Philémon Paroisse, Bellechasse CRM, Quebec, Canada"
"West Isles Parish, Charlotte County, New Brunswick, Canada"
"Christian Island 30 Indian Reserve, Simcoe County, Ontario, Canada"
"Embree Town, Division No. 8, Newfoundland and Labrador, Canada"
"Flying Dust First Nation 105 Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Saint-François-d'Assise Municipalité, Avignon CRM, Quebec, Canada"
"Port Saunders Town, Division No. 9, Newfoundland and Labrador, Canada"
"Saint-Irénée Paroisse, Charlevoix-Est CRM, Quebec, Canada"
"Lac-Sainte-Marie Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Piapot 75 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Saint-Ignace-de-Stanbridge Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Poorman 88 Indian Reserve, Division No. 10, Saskatchewan, Canada"
"Warburg Village, Division No. 11, Alberta, Canada"
"Dundurn Town, Division No. 11, Saskatchewan, Canada"
"North Hatley Village, Memphrémagog CRM, Quebec, Canada"
"Notre-Dame-de-la-Paix Municipalité, Papineau CRM, Quebec, Canada"
"Eldon Parish, Restigouche County, New Brunswick, Canada"
"Saint-Sébastien Municipalité, Le Granit CRM, Quebec, Canada"
"Sainte-Louise Paroisse, L'Islet CRM, Quebec, Canada"
"South River Town, Division No. 1, Newfoundland and Labrador, Canada"
"Lampman Town, Division No. 1, Saskatchewan, Canada"
"Norman Wells Town, Region 2 Region, Northwest Territories, Canada"
"Saint-Isidore-de-Clifton Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"Cold Lake 149 Indian Reserve, Division No. 12, Alberta, Canada"
"Kinistino Town, Division No. 15, Saskatchewan, Canada"
"One Arrow 95 Indian Reserve, Division No. 15, Saskatchewan, Canada"
"Saint-Édouard-de-Fabre Paroisse, Témiscamingue CRM, Quebec, Canada"
"Sandy Bay Northern Village, Division No. 18, Saskatchewan, Canada"
"Spanish Town, Algoma District, Ontario, Canada"
"Coulee No. 136 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Milltown-Head of Bay d'Espoir Town, Division No. 3, Newfoundland and Labrador, Canada"
"Tyne Valley Fire District, Prince County, Prince Edward Island, Canada"
"Bienfait Town, Division No. 1, Saskatchewan, Canada"
"Bowman Municipalité, Papineau CRM, Quebec, Canada"
"Saint-Augustin-de-Woburn Paroisse, Le Granit CRM, Quebec, Canada"
"Big River Town, Division No. 16, Saskatchewan, Canada"
"Cox's Cove Town, Division No. 5, Newfoundland and Labrador, Canada"
"Columbia-Shuswap B Regional District Electoral Area, Columbia-Shuswap Regional district, British Columbia, Canada"
"Poplar Hill Indian Reserve, Kenora District, Ontario, Canada"
"Poularies Municipalité, Abitibi-Ouest CRM, Quebec, Canada"
"Central Coast C Regional District Electoral Area, Central Coast Regional district, British Columbia, Canada"
"Matimekosh Indian Reserve, Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
"Fortierville Municipalité, Bécancour CRM, Quebec, Canada"
"Saint-Gabriel-Lalemant Municipalité, Kamouraska CRM, Quebec, Canada"
"Bedford Canton, Brome-Missisquoi CRM, Quebec, Canada"
"Birch Hills No. 460 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Saint-André-de-Kamouraska Municipalité, Kamouraska CRM, Quebec, Canada"
"Rivière-Verte Parish, Madawaska County, New Brunswick, Canada"
"Flett's Springs No. 429 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Woodland Cree 226 Indian Reserve, Division No. 17, Alberta, Canada"
"Division No. 1, Subd. A, Division No. 1, Newfoundland and Labrador, Canada"
"King's Point Town, Division No. 8, Newfoundland and Labrador, Canada"
"Montcerf-Lytton Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Stoughton Town, Division No. 1, Saskatchewan, Canada"
"Cat Lake 63C Indian Reserve, Kenora District, Ontario, Canada"
"Midway Village, Kootenay Boundary Regional district, British Columbia, Canada"
"Naicam Town, Division No. 14, Saskatchewan, Canada"
"Bonsecours Municipalité, Le Val-Saint-François CRM, Quebec, Canada"
"Brenda-Waskada Municipality, Division No. 5, Manitoba, Canada"
"Spirit River No. 133 Municipal District, Division No. 19, Alberta, Canada"
"Ethelbert Municipality, Division No. 17, Manitoba, Canada"
"L'Île-du-Grand-Calumet Municipalité, Pontiac CRM, Quebec, Canada"
"North Rustico Town, Queens County, Prince Edward Island, Canada"
"Saint Croix Parish, Charlotte County, New Brunswick, Canada"
"Sarnia 45 Indian Reserve, Lambton County, Ontario, Canada"
"Fort McPherson Hamlet, Region 1 Region, Northwest Territories, Canada"
"Garden River No. 490 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Montrose No. 315 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"Norman's Cove-Long Cove Town, Division No. 1, Newfoundland and Labrador, Canada"
"Oil Springs Village, Lambton County, Ontario, Canada"
"Bryson Municipalité, Pontiac CRM, Quebec, Canada"
"Buena Vista Village, Division No. 6, Saskatchewan, Canada"
"Heart's Delight-Islington Town, Division No. 1, Newfoundland and Labrador, Canada"
"Sturgis Town, Division No. 9, Saskatchewan, Canada"
"Cowessess 73 Indian Reserve, Division No. 5, Saskatchewan, Canada"
"Consort Village, Division No. 4, Alberta, Canada"
"Sunchild 202 Indian Reserve, Division No. 9, Alberta, Canada"
"Eagle Creek No. 376 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"Murdochville Ville, La Côte-de-Gaspé CRM, Quebec, Canada"
"Saint-François-de-Sales Municipalité, Le Domaine-du-Roy CRM, Quebec, Canada"
"Akulivik Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Stanstead-Est Municipalité, Coaticook CRM, Quebec, Canada"
"Kawawachikamach Terres réservées aux Naskapis, Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
"Lac Brochet 197A Indian Reserve, Division No. 23, Manitoba, Canada"
"Bloodvein 12 Indian Reserve, Division No. 19, Manitoba, Canada"
"Wabasca 166D Indian Reserve, Division No. 17, Alberta, Canada"
"Saint-Just-de-Bretenières Municipalité, Montmagny CRM, Quebec, Canada"
"Johnston Parish, Queens County, New Brunswick, Canada"
"Pasqua 79 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"St. Brieux Town, Division No. 15, Saskatchewan, Canada"
"Gesgapegiag Indian Reserve, Avignon CRM, Quebec, Canada"
"Saint-Ludger-de-Milot Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Arcola Town, Division No. 1, Saskatchewan, Canada"
"Colombier Municipalité, La Haute-Côte-Nord CRM, Quebec, Canada"
"Westport Village, Leeds and Grenville United counties, Ontario, Canada"
"Couchiching 16A Indian Reserve, Rainy River District, Ontario, Canada"
"Namur Municipalité, Papineau CRM, Quebec, Canada"
"Ferland-et-Boilleau Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Montcalm Municipalité, Les Laurentides CRM, Quebec, Canada"
"Clayton No. 333 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Sainte-Angèle-de-Prémont Municipalité, Maskinongé CRM, Quebec, Canada"
"Foremost Village, Division No. 1, Alberta, Canada"
"Murray Harbour Fire District, Kings County, Prince Edward Island, Canada"
