longname,Silent %,Silent % [StatCan],Boomer %,Boomer % [StatCan],Gen X %,Gen X % [StatCan],Millennial %,Millennial % [StatCan],Gen Z %,Gen Z % [StatCan],Gen Alpha %,Gen Alpha % [StatCan]
"Gyeonggi-do, South Korea",,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,
"Pennsylvania, USA",0.07609076548272244,,0.2478557772244015,,0.1855248833058486,,0.19299222042261768,,0.18695962284213827,,0.11057673072227159,
"National Capital Region, Philippines",,,,,,,,,,,,
"Illinois, USA",0.06414518357316548,,0.22411783139879454,,0.1913662722255912,,0.2039603672936474,,0.19730122475208672,,0.11910912075671463,
"Moskva, Russia",,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,
"Ohio, USA",0.06863664819707903,,0.23936849651550707,,0.18515562961959775,,0.19311135534228138,,0.19461131701541037,,0.11911655331012433,
"Uttarākhand, India",,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,
"Georgia, USA",0.05223797717171674,,0.21072253076992614,,0.19783833054800545,,0.2051211061090675,,0.20892433381373218,,0.1251557215875521,
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,
"North Carolina, USA",0.06322860697644944,,0.2296472148063434,,0.19446818311347897,,0.19605206804730846,,0.19878353691311995,,0.11782039014329992,
"Al Qāhirah, Egypt",,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,
"Michigan, USA",0.06818167847916981,,0.24480321474131064,,0.18498512830284763,,0.1900311153827477,,0.1967390710647769,,0.11525979202914728,
"Pernambuco, Brazil",,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,
"New Jersey, USA",0.06796279086952142,,0.2319651174315132,,0.20040053835418487,,0.19401567099097042,,0.18780489819927051,,0.11785098415453958,
"Azerbaijan, Azerbaijan",,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,
"Virginia, USA",0.06120604395731334,,0.22440090731360782,,0.19409827885024172,,0.2057078213997777,,0.19569608072146838,,0.11889086775759114,
"Katsina, Nigeria",,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,
"Quebec, Canada",,0.0886206753611256,,0.2633249737949306,,0.18956536495394052,,0.18996921121729898,,0.16237992769387583,,0.10613984697882833
"Lampung, Indonesia",,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,
"Washington, USA",0.05848657438344414,,0.22284050586477178,,0.18861564734003586,,0.22302394464106226,,0.18590576321494862,,0.12112756455573742,
"Jakarta Raya, Indonesia",,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,
"Arizona, USA",0.07239327985548515,,0.2247394582970137,,0.17935872069033795,,0.2004224210301888,,0.20261659768281903,,0.12046952244415542,
"Ningxia Zizhiiqu, China",,,,,,,,,,,,
"Massachusetts, USA",0.06766558123009798,,0.23542622423894818,,0.19161153712676082,,0.20646654020329708,,0.19443574046389345,,0.10439437673700251,
"Ashanti, Ghana",,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,
"Tennessee, USA",0.06341350015151218,,0.23146517892505006,,0.19016360276691469,,0.20137611855146978,,0.19382127375349129,,0.119760325851562,
"Tigray, Ethiopia",,,,,,,,,,,,
"Indiana, USA",0.06235591749193285,,0.22497711565407658,,0.18471932979230532,,0.19466180047220574,,0.2071698359140584,,0.1261160006754211,
"Akwa Ibom, Nigeria",,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,,
"Maryland, USA",0.06182181773167807,,0.22853334597053337,,0.19545203307600129,,0.20391567482789266,,0.18981563444033758,,0.12046149395355703,
"Missouri, USA",0.06874943190355576,,0.23512456835949294,,0.18070647253262903,,0.19730422149171067,,0.19644302648195627,,0.12167227923065531,
"Antioquia, Colombia",,,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,,
"Wisconsin, USA",0.067764205662231,,0.24411187810228105,,0.18374763310124034,,0.19032673227164784,,0.1977390611480126,,0.11631048971458724,
"Ankara, Turkey",,,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,,
"Colorado, USA",0.05257325652749332,,0.2147017669909192,,0.19153857927835882,,0.2290981441073925,,0.19468857850955715,,0.11739967458627898,
"Abidjan, Ivory Coast",,,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,,
"Minnesota, USA",0.06453093950915054,,0.22891467741386545,,0.182996510028537,,0.20207301227691896,,0.1948969447191933,,0.12658791605233474,
"Baghdād, Iraq",,,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,,
"Kasaï Central, Democratic Republic of the Congo",,,,,,,,,,,,
"Nusa Tenggara Timur, Indonesia",,,,,,,,,,,,
"Grand Est, France",,,,,,,,,,,,
"Scotland, United Kingdom",,,,,,,,,,,,
"Imo, Nigeria",,,,,,,,,,,,
"Khūzestān, Iran",,,,,,,,,,,,
"Ādīs Ābeba, Ethiopia",,,,,,,,,,,,
"Sumatera Barat, Indonesia",,,,,,,,,,,,
"Hokkaidô, Japan",,,,,,,,,,,,
"Mazowieckie, Poland",,,,,,,,,,,,
"Greater Accra, Ghana",,,,,,,,,,,,
"Hyôgo, Japan",,,,,,,,,,,,
"Cebu, Philippines",,,,,,,,,,,,
"Zinder, Niger",,,,,,,,,,,,
"Sūhāj, Egypt",,,,,,,,,,,,
"Sokoto, Nigeria",,,,,,,,,,,,
"Nuevo León, Mexico",,,,,,,,,,,,
"Queensland, Australia",,,,,,,,,,,,
"Sankt-Peterburg, Russia",,,,,,,,,,,,
"Koshi, Nepal",,,,,,,,,,,,
"Nairobi City, Kenya",,,,,,,,,,,,
"Michoacán de Ocampo, Mexico",,,,,,,,,,,,
"South Carolina, USA",0.0669827519540413,,0.24510095452292688,,0.18565993670148412,,0.19279362261049526,,0.19281194678626704,,0.11665078742478535,
"Sīdama, Ethiopia",,,,,,,,,,,,
"Analamanga, Madagascar",,,,,,,,,,,,
"Hukuoka, Japan",,,,,,,,,,,,
"Rabat-Salé-Kénitra, Morocco",,,,,,,,,,,,
"Nusa Tenggara Barat, Indonesia",,,,,,,,,,,,
"Valenciana, Comunidad, Spain",,,,,,,,,,,,
"Tahoua, Niger",,,,,,,,,,,,
"Alabama, USA",0.06653418227725617,,0.23710489918395236,,0.18793754040048982,,0.19149769061702573,,0.19737880147266545,,0.11954688604861051,
"Kalimantan Barat, Indonesia",,,,,,,,,,,,
"British Columbia, Canada",,0.08475199664665309,,0.2606204364332466,,0.1917681975851572,,0.20973438929235133,,0.16087976621179764,,0.09224521383079397
"Bago, Myanmar",,,,,,,,,,,,
"Provence-Alpes-Côte d'Azur, France",,,,,,,,,,,,
"Marrakech-Safi, Morocco",,,,,,,,,,,,
"Asyūţ, Egypt",,,,,,,,,,,,
"Veneto, Italy",,,,,,,,,,,,
"Zamfara, Nigeria",,,,,,,,,,,,
"Kebbi, Nigeria",,,,,,,,,,,,
"Enugu, Nigeria",,,,,,,,,,,,
"Janūb Dārfūr, Sudan",,,,,,,,,,,,
"Ituri, Democratic Republic of the Congo",,,,,,,,,,,,
"Eşfahān, Iran",,,,,,,,,,,,
"Centre, Burkina Faso",,,,,,,,,,,,
"Valle del Cauca, Colombia",,,,,,,,,,,,
"Kasaï, Democratic Republic of the Congo",,,,,,,,,,,,
"Sicilia, Italy",,,,,,,,,,,,
"Osun, Nigeria",,,,,,,,,,,,
"Adamawa, Nigeria",,,,,,,,,,,,
"Ḩalab, Syria",,,,,,,,,,,,
"Ondo, Nigeria",,,,,,,,,,,,
"Sud-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,
"Qinā, Egypt",,,,,,,,,,,,
"Aceh, Indonesia",,,,,,,,,,,,
"Louisiana, USA",0.05990034273350404,,0.2256188762929762,,0.17941947222635582,,0.20795138476789013,,0.19866295301662143,,0.12844697096265242,
"Fès-Meknès, Morocco",,,,,,,,,,,,
"Mpumalanga, South Africa",,,,,,,,,,,,
"Toshkent (Province), Uzbekistan",,,,,,,,,,,,
"Bali, Indonesia",,,,,,,,,,,,
"Maradi, Niger",,,,,,,,,,,,
"Littoral, Cameroon",,,,,,,,,,,,
"Plateau, Nigeria",,,,,,,,,,,,
"Oaxaca, Mexico",,,,,,,,,,,,
"Emilia-Romagna, Italy",,,,,,,,,,,,
"Kentucky, USA",0.06332064553579014,,0.23436983860976213,,0.18932080288396505,,0.19244237441098605,,0.19807329275175795,,0.12247304580773875,
"Edo, Nigeria",,,,,,,,,,,,
"Lumbinī, Nepal",,,,,,,,,,,,
"Guayas, Ecuador",,,,,,,,,,,,
"Śląskie, Poland",,,,,,,,,,,,
"Kasaï Oriental, Democratic Republic of the Congo",,,,,,,,,,,,
"Tillabéri, Niger",,,,,,,,,,,,
"Al Minūfīyah, Egypt",,,,,,,,,,,,
"Far North, Cameroon",,,,,,,,,,,,
"Kermān, Iran",,,,,,,,,,,,
"Piemonte, Italy",,,,,,,,,,,,
"Al Jazīrah, Sudan",,,,,,,,,,,,
"Amazonas, Brazil",,,,,,,,,,,,
"Ozama, Dominican Republic",,,,,,,,,,,,
"Alberta, Canada",,0.05804223944294017,,0.21611346252866462,,0.1990201398761163,,0.21977603417841549,,0.18289630808930182,,0.12415181588456156
"Oregon, USA",0.06697456213188527,,0.23855267404945038,,0.18930073619208412,,0.21144165601948597,,0.1832223668820227,,0.11050800472507155,
"Kalimantan Selatan, Indonesia",,,,,,,,,,,,
"Sverdlovskaya oblast', Russia",,,,,,,,,,,,
"Rostovskaya oblast', Russia",,,,,,,,,,,,
"Bashkortostan, Respublika, Russia",,,,,,,,,,,,
"Nīnawá, Iraq",,,,,,,,,,,,
"Tanganyika, Democratic Republic of the Congo",,,,,,,,,,,,
"Rheinland-Pfalz, Germany",,,,,,,,,,,,
"Sachsen, Germany",,,,,,,,,,,,
"Donets'ka oblast, Ukraine",,,,,,,,,,,,
"Espírito Santo, Brazil",,,,,,,,,,,,
"Paraíba, Brazil",,,,,,,,,,,,
"Bulacan, Philippines",,,,,,,,,,,,
"Zulia, Venezuela",,,,,,,,,,,,
"Tripura, India",,,,,,,,,,,,
"Kalimantan Timur, Indonesia",,,,,,,,,,,,
"Cavite, Philippines",,,,,,,,,,,,
"Abia, Nigeria",,,,,,,,,,,,
"Mwanza, Tanzania",,,,,,,,,,,,
"Tanger-Tétouan-Al Hoceïma, Morocco",,,,,,,,,,,,
"Ekiti, Nigeria",,,,,,,,,,,,
"P’yŏngan-namdo [Phyeongannamto], North Korea",,,,,,,,,,,,
"Al ‘A̅şimah, Jordan",,,,,,,,,,,,
"North-West, South Africa",,,,,,,,,,,,
"Kongo Central, Democratic Republic of the Congo",,,,,,,,,,,,
"Oklahoma, USA",0.0630170864588162,,0.21788751041212023,,0.17680216841187144,,0.2027926457997401,,0.20784755397312313,,0.1316530349443288,
"İzmir, Turkey",,,,,,,,,,,,
"Guerrero, Mexico",,,,,,,,,,,,
"Sikasso, Mali",,,,,,,,,,,,
"Tatarstan, Respublika, Russia",,,,,,,,,,,,
"Tā‘izz, Yemen",,,,,,,,,,,,
"Maritime (Région), Togo",,,,,,,,,,,,
"Puglia, Italy",,,,,,,,,,,,
"Kafr ash Shaykh, Egypt",,,,,,,,,,,,
"Sabah, Malaysia",,,,,,,,,,,,
"Magway, Myanmar",,,,,,,,,,,,
"Samarqand, Uzbekistan",,,,,,,,,,,,
"Meghālaya, India",,,,,,,,,,,,
"Johor, Malaysia",,,,,,,,,,,,
"Farg'ona, Uzbekistan",,,,,,,,,,,,
"Pays de la Loire, France",,,,,,,,,,,,
"Al Fayyūm, Egypt",,,,,,,,,,,,
"Banaadir, Somalia",,,,,,,,,,,,
"Eastern Equatoria, South Sudan",,,,,,,,,,,,
"Zuid-Holland, Netherlands",,,,,,,,,,,,
"Est, Rwanda",,,,,,,,,,,,
"Attikí, Greece",,,,,,,,,,,,
"Jambi, Indonesia",,,,,,,,,,,,
"Yobe, Nigeria",,,,,,,,,,,,
"Yogyakarta, Indonesia",,,,,,,,,,,,
"Huíla, Angola",,,,,,,,,,,,
"Lusaka, Zambia",,,,,,,,,,,,
"wallonne, Région, Belgium",,,,,,,,,,,,
"Santa Fe, Argentina",,,,,,,,,,,,
"Córdoba, Argentina",,,,,,,,,,,,
"Rio Grande do Norte, Brazil",,,,,,,,,,,,
"Ebonyi, Nigeria",,,,,,,,,,,,
"Azad Jammu and Kashmir, Pakistan",,,,,,,,,,,,
"Toscana, Italy",,,,,,,,,,,,
"Connecticut, USA",0.07288095505259966,,0.24382657626538726,,0.19516355358456156,,0.18573496142863052,,0.19736488120096193,,0.10502907246785893,
"Chihuahua, Mexico",,,,,,,,,,,,
"Tamaulipas, Mexico",,,,,,,,,,,,
"Dakar, Senegal",,,,,,,,,,,,
"Al Ḩudaydah, Yemen",,,,,,,,,,,,
"Mato Grosso, Brazil",,,,,,,,,,,,
"Ibb, Yemen",,,,,,,,,,,,
"Kwilu, Democratic Republic of the Congo",,,,,,,,,,,,
"Berlin, Germany",,,,,,,,,,,,
"Shamāl Dārfūr, Sudan",,,,,,,,,,,,
"Bamako, Mali",,,,,,,,,,,,
"Wielkopolskie, Poland",,,,,,,,,,,,
"Busan-gwangyeoksi, South Korea",,,,,,,,,,,,
"Chelyabinskaya oblast', Russia",,,,,,,,,,,,
"Kwara, Nigeria",,,,,,,,,,,,
"Baja California, Mexico",,,,,,,,,,,,
"Dagestan, Respublika, Russia",,,,,,,,,,,,
"Khatlon, Tajikistan",,,,,,,,,,,,
"Tete, Mozambique",,,,,,,,,,,,
"Gyeongsangnam-do, South Korea",,,,,,,,,,,,
"Thanh Hóa, Vietnam",,,,,,,,,,,,
"Cross River, Nigeria",,,,,,,,,,,,
"Guatemala, Guatemala",,,,,,,,,,,,
"Alagoas, Brazil",,,,,,,,,,,,
"Laguna, Philippines",,,,,,,,,,,,
"Banī Suwayf, Egypt",,,,,,,,,,,,
"Małopolskie, Poland",,,,,,,,,,,,
"Manipur, India",,,,,,,,,,,,
"Pangasinan, Philippines",,,,,,,,,,,,
"Hidalgo, Mexico",,,,,,,,,,,,
"Piauí, Brazil",,,,,,,,,,,,
"Kindia, Guinea",,,,,,,,,,,,
"Bretagne, France",,,,,,,,,,,,
"Sudūr Pashchim, Nepal",,,,,,,,,,,,
"Bursa, Turkey",,,,,,,,,,,,
"Santa Cruz, Bolivia",,,,,,,,,,,,
"P’yŏngyang [Phyeongyang], North Korea",,,,,,,,,,,,
"Puerto Rico, USA",0.0983614108122885,,0.2476208568152134,,0.1936225603099809,,0.18491036175175785,,0.19042010135351922,,0.08506470895724005,
"Normandie, France",,,,,,,,,,,,
"Utah, USA",0.04258379572750883,,0.16326635451836485,,0.17056140274867992,,0.21833928024336458,,0.24673868978173039,,0.15851047698035145,
"Hamgyŏng-namdo [Hamkyeongnamto], North Korea",,,,,,,,,,,,
"Taraba, Nigeria",,,,,,,,,,,,
"Qashqadaryo, Uzbekistan",,,,,,,,,,,,
"Tabora, Tanzania",,,,,,,,,,,,
"Ouest, Haiti",,,,,,,,,,,,
"Ðồng Nai, Vietnam",,,,,,,,,,,,
"Āz̄arbāyjān-e Gharbī, Iran",,,,,,,,,,,,
"Al Başrah, Iraq",,,,,,,,,,,,
"nohiyahoi tobei jumhurí, Tajikistan",,,,,,,,,,,,
"Ségou, Mali",,,,,,,,,,,,
"Amānat al ‘Āşimah [city], Yemen",,,,,,,,,,,,
"Samarskaya oblast', Russia",,,,,,,,,,,,
"Negros Occidental, Philippines",,,,,,,,,,,,
"Iowa, USA",0.07150599699913966,,0.2306748157491597,,0.17533287827648725,,0.189307317502809,,0.20753926438068837,,0.12563972709171603,
"Āz̄arbāyjān-e Sharqī, Iran",,,,,,,,,,,,
"Kagera, Tanzania",,,,,,,,,,,,
"Xizang Zizhiqu, China",,,,,,,,,,,,
"Lomami, Democratic Republic of the Congo",,,,,,,,,,,,
"Pichincha, Ecuador",,,,,,,,,,,,
"Wales, United Kingdom",,,,,,,,,,,,
"Distrito Federal, Brazil",,,,,,,,,,,,
"Sulawesi Tengah, Indonesia",,,,,,,,,,,,
"Dnipropetrovska oblast, Ukraine",,,,,,,,,,,,
"Sonora, Mexico",,,,,,,,,,,,
"Māzandarān, Iran",,,,,,,,,,,,
"Herāt, Afghanistan",,,,,,,,,,,,
"Abū Z̧aby, United Arab Emirates",,,,,,,,,,,,
"Eastern, Ghana",,,,,,,,,,,,
"La Paz, Bolivia",,,,,,,,,,,,
"Sud, Rwanda",,,,,,,,,,,,
"Nevada, USA",0.059020579634537336,,0.22345989426125168,,0.1949897327373655,,0.21444000107216288,,0.1863630747264522,,0.12172671756823056,
"Batangas, Philippines",,,,,,,,,,,,
"Dubayy, United Arab Emirates",,,,,,,,,,,,
"Şalāḩ ad Dīn, Iraq",,,,,,,,,,,,
"Cundinamarca, Colombia",,,,,,,,,,,,
"Andijon, Uzbekistan",,,,,,,,,,,,
"Nizhegorodskaya oblast', Russia",,,,,,,,,,,,
"Rizal, Philippines",,,,,,,,,,,,
"Arkansas, USA",0.068207902229862,,0.22838436181982796,,0.18221649836791526,,0.19354077528956615,,0.20117394995392932,,0.12647651233889923,
"Lilongwe, Malawi",,,,,,,,,,,,
"Shamāl Kurdufān, Sudan",,,,,,,,,,,,
"Coahuila de Zaragoza, Mexico",,,,,,,,,,,,
"Gombe, Nigeria",,,,,,,,,,,,
"Lualaba, Democratic Republic of the Congo",,,,,,,,,,,,
"Souss-Massa, Morocco",,,,,,,,,,,,
"Nghệ An, Vietnam",,,,,,,,,,,,
"Wakiso, Uganda",,,,,,,,,,,,
"Mississippi, USA",0.06226900180012792,,0.22655207007103512,,0.18270812005364043,,0.1938119298038704,,0.20987054041184816,,0.12478833785947795,
"Sinaloa, Mexico",,,,,,,,,,,,
"Morogoro, Tanzania",,,,,,,,,,,,
"Koulikoro, Mali",,,,,,,,,,,,
"Kansas, USA",0.06502338427181345,,0.22149218017535857,,0.17395422187313586,,0.1950166075565662,,0.21217428197342478,,0.13233932414970107,
"Schleswig-Holstein, Germany",,,,,,,,,,,,
"Stavropol'skiy kray, Russia",,,,,,,,,,,,
"Kyiv, Ukraine",,,,,,,,,,,,
"Kigoma, Tanzania",,,,,,,,,,,,
"Dolnośląskie, Poland",,,,,,,,,,,,
