longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %
"Shanghai Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas, USA",0.19872860739207832,0.11951833231345219,0.2115441831953895,0.0977145239570832,0.31622091886507675,0.054640694229333306,0.02948551182383314,0.06478352198390298,0.052772062028042833,0.11457791125884116,0.365313184726351,0.02937264777938266,0.3056146639979645,0.0628014356848968,0.06451242887458611,0.1522108688101144,0.13745720898833355,0.04519619151557427,0.08799454653963076,0.18066010306752062,0.16108320626349418,0.26829492637278485,0.34477698326204387,0.6990877123345426,0.5335389611740091,0.8199935845794332
"Chhattīsgarh, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida, USA",0.17895232149501053,0.12323490175992016,0.26826405518385393,0.10427776820047098,0.33952165703135745,0.06957067685836726,0.03160970629472493,0.07570034671073436,0.06344030543731664,0.11329064854061473,0.3592584511019737,0.03319856709511617,0.30829871187245006,0.07226797439903165,0.0547841067455426,0.1436927327404705,0.1480028137057859,0.042378656025196054,0.08501598484649275,0.16555453046597823,0.17630185590267144,0.2610754459082218,0.3445795192952594,0.7343522744434864,0.580689573638017,0.8355309629605376
"Minas Gerais, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"New York, USA",0.15590660960175076,0.10658638972448087,0.22761477576562103,0.10864858228649081,0.295835699352589,0.06255402312515362,0.02923794344495004,0.061943177864213994,0.053752095804534675,0.10677049467055466,0.30206698584979524,0.028692591895812986,0.27646210351215555,0.056544996509601764,0.05440870904791203,0.1260844030163972,0.13306852855353293,0.0395218749704609,0.08168095457347281,0.16705224321280338,0.15224879840039066,0.2583899701329417,0.34226135574437944,0.7704430376298635,0.6441017830350786,0.8639624473647826
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ontario, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kano, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania, USA",0.16765503999337475,0.11945229744756927,0.27209472886936936,0.10795748678057704,0.31679887289556086,0.07151984016630555,0.030289078174496428,0.07017397223284669,0.06208016771230107,0.10017423148892997,0.3411444464464353,0.03204234863164758,0.2940472254890161,0.0699958780429228,0.04992786473924398,0.13766058493716724,0.13644780269703216,0.03796226244221599,0.08046309642067327,0.17159706733038912,0.17553057833044394,0.25415052020300444,0.35436142165594836,0.7569349909247592,0.650257275206417,0.8445922142576328
"National Capital Region, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois, USA",0.1562398324319567,0.1086654598026099,0.21595609452782286,0.09757976720353152,0.29915689825001873,0.06251974196628726,0.028554934969337295,0.06120787127694417,0.05281263427186887,0.10139027067456641,0.3395347438966436,0.029326642763847003,0.3085499878457253,0.06800457321686754,0.05053979373952724,0.14213856718723614,0.1450805015412122,0.03781046334237018,0.08150639729580585,0.17031596020302672,0.15004688099942876,0.2717774811995155,0.3278423503598919,0.7683830452939032,0.6394899169152172,0.818857111436627
"Moskva, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio, USA",0.17981278142416066,0.12554161143609122,0.2903416959311431,0.10639258430971953,0.3475953174492101,0.07054004447313172,0.031245511676820326,0.08487431685560361,0.06708381700964355,0.11973187758930069,0.3933453279357075,0.03364728678312112,0.3044422191445206,0.06447864820424566,0.05202556275105065,0.14471955154148258,0.15274012134647616,0.0416063178376049,0.0876197081490407,0.17250559412764185,0.19865261412080212,0.2798264827764456,0.36673124258502066,0.766332101222873,0.6267050396599759,0.8338753309536041
"Uttarākhand, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia, USA",0.17974092412382403,0.1198676856905594,0.23836784887608967,0.10299167095758789,0.35352285283880225,0.05703029837843923,0.030306322007824696,0.0648204364008782,0.053191824684285086,0.11505856279338164,0.3531195699509016,0.031718369042587666,0.2982854772293002,0.055628836990023474,0.05917358293700707,0.14916123200989137,0.14095706340476397,0.0430101267731974,0.08667115873533665,0.15544121228492677,0.17084102157938813,0.256938305720177,0.36855068132472013,0.7543566183961097,0.5782013844084133,0.8518303998233662
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina, USA",0.1620523023653825,0.11634480018121861,0.25761175325133967,0.10068371084027784,0.3351395854396474,0.0639280155081823,0.03076128597131323,0.07128127773785367,0.059633904622032385,0.11265978953692021,0.3616223456029749,0.033052978399866526,0.30677923522164613,0.07229034268069372,0.05682769843950361,0.14349440842898367,0.1445569575515083,0.04316406506343231,0.08423450347618586,0.16990751245036687,0.16795254886333508,0.23110551823958497,0.3317592089113686,0.7773756506805138,0.6342644199470517,0.8535838527938222
"Al Qāhirah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan, USA",0.16843851299870338,0.11834807128476153,0.2781447315267036,0.11339394227309964,0.33722271699900386,0.06941661393238084,0.03114292815526827,0.0754857213018579,0.06144421689150444,0.10319913332686677,0.3593981459830814,0.032879576748761484,0.28637252375348016,0.06579031507413989,0.05151195720985182,0.13257919361754877,0.1373740911888327,0.04107799008294579,0.08529680688915346,0.16877830378119182,0.18386815979731064,0.237512348494952,0.3464580322862855,0.7540177173556137,0.6765042663899653,0.8514812237100675
"Pernambuco, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey, USA",0.1511540236979596,0.1043321260039841,0.22333501355814644,0.09495760037882646,0.2947513165675877,0.06492037662542403,0.028105908224107266,0.054630054760765656,0.05186182417366268,0.09663014230639334,0.29429283794699534,0.02786327362334343,0.2499447032117568,0.052314209580626325,0.04855525839274718,0.11469449814389795,0.11643467907524718,0.03416950323794982,0.0673647035060157,0.16286295789651214,0.1339629085837517,0.24663020174086414,0.34306692199513916,0.7440553985928786,0.6598881524652,0.879458899362085
"Azerbaijan, Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia, USA",0.15457994999440372,0.10482348377677467,0.25496104550221516,0.10503950804197504,0.3251364063342123,0.06232066827797236,0.027802238829985466,0.06319920675112606,0.05007881982254672,0.10244611158660064,0.34937057453101983,0.02877507237537295,0.25374331709095627,0.05244971331958902,0.04504082450578891,0.12427425645502477,0.11609312247584594,0.034625204337469934,0.07193910534645195,0.16732835485800046,0.14786070887901878,0.21726700935317628,0.34679669536627317,0.7512087263982953,0.6787650999661027,0.8607879564911515
"Katsina, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Quebec, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lampung, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, USA",0.1462838536600944,0.11036841021174587,0.2457295969149018,0.10928457560636352,0.27837671311417345,0.06462067225443166,0.027522722916102374,0.055600709597069996,0.04771200007024502,0.08530877654693221,0.302584987973485,0.026938997154700012,0.2590425581491384,0.059291534073672665,0.042626330058664716,0.12941031796908814,0.10732807728615365,0.032614298219026956,0.07009298990464313,0.17006434468928192,0.1300331664177147,0.17931115168519784,0.3037915818379153,0.6388755289273575,0.6720708122440854,0.8156120385494079
"Jakarta Raya, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona, USA",0.1692475536835872,0.11838067043657748,0.23360769205666462,0.1046601748318284,0.29095869549060327,0.06684582132649027,0.03235738503660757,0.06426124585761334,0.057960714675899826,0.10063409386337159,0.3203955049751704,0.030402672873386483,0.29604095554270804,0.06776240866804081,0.055656836172312076,0.14750839917627412,0.13195012543019682,0.040045984703467076,0.07937896702582335,0.1702563533860818,0.15719566903157708,0.2353743978699658,0.3273019758532565,0.6794386310714932,0.5930047673556214,0.8190728490614839
"Ningxia Zizhiiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts, USA",0.13050585448501562,0.09799105136114925,0.2393799335530025,0.11195371492467981,0.27294216413213807,0.06886314554587104,0.027208586809393573,0.05933630421295953,0.05125921133018619,0.08422974404067407,0.2784320374757226,0.026500594027664314,0.25861736718541023,0.05900883669985565,0.041518052669063554,0.13110281869710513,0.11212579191923015,0.03199234354933819,0.06857860723569105,0.17608410349314424,0.1297599821785805,0.21488447773184066,0.31203435180954076,0.7342014571147671,0.7186376518426512,0.8722050168904596
"Ashanti, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tennessee, USA",0.19898195784956066,0.13584764245180891,0.2831147189138713,0.1079265751167653,0.3655644140110625,0.06657617796881164,0.031264098511344304,0.0877270614460816,0.06555587994900601,0.12466851476651102,0.36244910749055936,0.03377573113828228,0.33704605487037664,0.0714258567827775,0.05736731818906123,0.16555243587804486,0.16441944218240695,0.044435128868446264,0.09442984785603338,0.1499016660198792,0.2082373874317481,0.2924519498309284,0.34897726923880484,0.7639358066167324,0.5692910247501812,0.8553353779076699
"Tigray, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana, USA",0.17714472443986365,0.12078177970379211,0.26808035144906345,0.10857777492450252,0.3360395326464607,0.06707152951168995,0.03005873132014605,0.08130669872440602,0.06051875814965887,0.11327304165314166,0.3775412774620598,0.03152787047364469,0.29792650257212383,0.06304314785934768,0.05140699887954591,0.14115550239661095,0.14212980956882915,0.03939555125136618,0.08616327655519153,0.16485987305792466,0.1926788180365878,0.2677280360613733,0.3456994557143762,0.7439062052818978,0.6102817505357055,0.8181375516196716
"Akwa Ibom, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland, USA",0.14545686826694712,0.09523133030863512,0.23830309134832922,0.10149403392581985,0.3288729320026451,0.06257835573073049,0.028099172266217488,0.05330811213610779,0.04843201559843101,0.10199099053832238,0.34646509780752754,0.028996304960158842,0.24394378013866566,0.050392117770541096,0.04527165948500524,0.11333629927796983,0.113204045953879,0.033175992848504754,0.06616453796264998,0.14579468429408976,0.13167087506517933,0.22023219457780188,0.3430768007611998,0.7292491032815546,0.6461411945412481,0.8750429483708388
"Missouri, USA",0.18540257031261181,0.12854125557226848,0.27383485527742357,0.10025984138745682,0.34294159667553165,0.06921009726637296,0.02979018120202327,0.0811397725353576,0.0632693155845725,0.11055416765442501,0.3780719739399409,0.03262970348135848,0.3264164454958932,0.07740974938428023,0.05240397569890624,0.15824914227883252,0.15467233069130018,0.041035095708899225,0.09047112886505067,0.17534690868137104,0.196134907976968,0.26467038229806034,0.3365827536289244,0.7571937173531654,0.6039620140189266,0.8152031396907005
"Antioquia, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,,,,,,,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin, USA",0.13740093104056528,0.10234273835975782,0.26126892888468295,0.10624046927906651,0.2999528496526015,0.06942927125844243,0.028549249754839516,0.05758476980129275,0.05450513792967915,0.08632841734835732,0.35062083502886826,0.028599574344648472,0.23527377961662047,0.06156620028758811,0.041311668785665445,0.11787630990120943,0.10720903096007967,0.034230880761981615,0.06772456620718882,0.23146470113148016,0.15296738022519155,0.2052629031378755,0.30523683542820584,0.7282603752916657,0.6927577281726459,0.7997326137248928
"Ankara, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,,,,,,,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado, USA",0.13468571114582353,0.1023431779002281,0.22674325393372097,0.10457930921522923,0.24686624941139726,0.05996549467647292,0.025744515374565357,0.05331974738582101,0.04415737197545502,0.07412414597063151,0.25990746471686127,0.024376827452612358,0.23628466366091544,0.052872094157437474,0.041676550056567,0.11938526790631787,0.0964243715208801,0.030383466711816635,0.06353345933719877,0.19577398045581537,0.1403988098602758,0.17253108131875664,0.28302098545399085,0.6561500357425529,0.6518698478567482,0.8207553036120869
"Abidjan, Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota, USA",0.12852935260138462,0.09074721328033322,0.21623065615532194,0.09549643736721528,0.2810935379548238,0.0661543044644241,0.026700357979788716,0.05122528620969552,0.05102782241814339,0.085309371657157,0.33432776395722713,0.026479664558755084,0.24621830970849382,0.06379748817099481,0.037355552045137075,0.11496525780017781,0.10222322664424668,0.03060317654199842,0.06303441954534786,0.19392088746151168,0.1557374386160391,0.20830773748812872,0.27700766783256997,0.6740178258511484,0.6769024424222476,0.8221591032345207
"Baghdād, Iraq",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
