longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Never Married % [StatCan],Married (not divorced) %,Married (not divorced) % [StatCan],Divorced %,Divorced % [StatCan]
"Tehrān, Iran",,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,
"Pennsylvania, USA",0.18228701618911197,0.005651761810642059,0.42356581309222,0.30005520677136965,0.08844020213665628,0.3397109231579559,,0.5623569717075404,,0.09793210513450372,
"National Capital Region, Philippines",,,,,,,,,,,
"Illinois, USA",0.18001890670488568,0.005812743858487404,0.4031660450148027,0.32193960996476645,0.08906269445705775,0.35616251154747963,,0.5461179752307782,,0.0977195132217422,
"Moskva, Russia",,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,
"Ohio, USA",0.19116171814197702,0.00573316465405771,0.4197680965094287,0.3040704969003428,0.07926652379419365,0.3299303074906759,,0.5500730412971319,,0.11999665121219211,
"Uttarākhand, India",,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,
"Georgia, USA",0.17327953414346703,0.006213026758526079,0.3785445172388271,0.3391548965441125,0.10280802531506737,0.3490134644055222,,0.5387529091843262,,0.11223362641015161,
"Hồ Chí Minh, Vietnam",,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,
"North Carolina, USA",0.17974309077979528,0.005609159985733013,0.41325690123386233,0.30986683308522595,0.09152401491538342,0.3237673885101178,,0.5678050490128517,,0.10842756247703048,
"Al Qāhirah, Egypt",,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,
"Michigan, USA",0.1828519725756762,0.0050147055105922754,0.41966436998266315,0.3103267054577064,0.082142246473362,0.3368743492748757,,0.5459236619688453,,0.11720198875627896,
"Pernambuco, Brazil",,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,
"New Jersey, USA",0.15933519685915654,0.005152529880521933,0.41196302318635303,0.3328626736155165,0.09068657645845205,0.34276339205271833,,0.5701060590928311,,0.08713054885445069,
"Azerbaijan, Azerbaijan",,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,
"Virginia, USA",0.16815819946207902,0.005661526843143808,0.4150372480889331,0.3086494325637352,0.10249359304210882,0.3259335070329225,,0.572893301745546,,0.10117319122153147,
"Katsina, Nigeria",,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,
"Quebec, Canada",,,,,,,0.49437269594311445,,0.38445194922694204,,0.12117535482994353
"Lampung, Indonesia",,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,
"Washington, USA",0.16056383162814247,0.008493131291566602,0.4401439907101574,0.294414604151495,0.09638444221863837,0.3167942682034091,,0.5679521704914265,,0.11525356130516426,
"Jakarta Raya, Indonesia",,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,
"Arizona, USA",0.16970380663444576,0.007390672919921854,0.4113550795973595,0.31214320615358515,0.09940723469468789,0.3318236644041658,,0.5477212874456617,,0.12045504815017234,
"Ningxia Zizhiiqu, China",,,,,,,,,,,
"Massachusetts, USA",0.17861668305709713,0.008991528616442842,0.41025950718713255,0.29236442464479095,0.10976785649453663,0.370228563384077,,0.5355390944869739,,0.09423234212894924,
"Ashanti, Ghana",,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,
"Tennessee, USA",0.1799958278837952,0.00539638528716872,0.4115768721334662,0.311866418392653,0.09116449630291691,0.30721368372644076,,0.5706632314001999,,0.12212308487335927,
"Tigray, Ethiopia",,,,,,,,,,,
"Indiana, USA",0.17388518427452931,0.00558615030497662,0.42355621254447123,0.31401810603524544,0.08295434684077743,0.3171992861462074,,0.5589893054343795,,0.12381140841941296,
"Akwa Ibom, Nigeria",,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,
"Maryland, USA",0.17398000662792729,0.006426155387519592,0.3918943864489593,0.3232889693105125,0.10441048222508138,0.3544342938621681,,0.5468354818913216,,0.09873022424651014,
"Missouri, USA",0.18088039758272953,0.005921313956318516,0.42489457029063016,0.3049098279453188,0.08339389022500306,0.30729954824723216,,0.5701976154997188,,0.12250283625304914,
"Antioquia, Colombia",,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,
"Wisconsin, USA",0.1815077810397609,0.005207449535601259,0.44988261697413523,0.2875200456188627,0.07588210683163993,0.3277417807270932,,0.5621829178428726,,0.1100753014300343,
"Ankara, Turkey",,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,
"Colorado, USA",0.16894360753539084,0.00788687959272964,0.43279081405150405,0.2927816652851483,0.09759703353522722,0.3234091951503628,,0.5598382486176625,,0.1167525562319745,
"Abidjan, Ivory Coast",,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,
"Minnesota, USA",0.16686118735486316,0.006174821168235233,0.4463182020522984,0.29999724733399735,0.08064854209060589,0.32627930509259945,,0.5703402740802009,,0.10338042082719955,
"Baghdād, Iraq",,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,
"Kasaï Central, Democratic Republic of the Congo",,,,,,,,,,,
"Nusa Tenggara Timur, Indonesia",,,,,,,,,,,
"Grand Est, France",,,,,,,,,,,
"Scotland, United Kingdom",,,,,,,,,,,
"Imo, Nigeria",,,,,,,,,,,
"Khūzestān, Iran",,,,,,,,,,,
"Ādīs Ābeba, Ethiopia",,,,,,,,,,,
"Sumatera Barat, Indonesia",,,,,,,,,,,
"Hokkaidô, Japan",,,,,,,,,,,
"Mazowieckie, Poland",,,,,,,,,,,
"Greater Accra, Ghana",,,,,,,,,,,
"Hyôgo, Japan",,,,,,,,,,,
"Cebu, Philippines",,,,,,,,,,,
"Zinder, Niger",,,,,,,,,,,
"Sūhāj, Egypt",,,,,,,,,,,
"Sokoto, Nigeria",,,,,,,,,,,
"Nuevo León, Mexico",,,,,,,,,,,
"Queensland, Australia",,,,,,,,,,,
"Sankt-Peterburg, Russia",,,,,,,,,,,
"Koshi, Nepal",,,,,,,,,,,
"Nairobi City, Kenya",,,,,,,,,,,
"Michoacán de Ocampo, Mexico",,,,,,,,,,,
"South Carolina, USA",0.1839528363615149,0.00496562788115421,0.4054255412534329,0.3144544441350535,0.09120155036884449,0.3258238310316527,,0.5681321791682676,,0.10604398980007959,
"Sīdama, Ethiopia",,,,,,,,,,,
"Analamanga, Madagascar",,,,,,,,,,,
"Hukuoka, Japan",,,,,,,,,,,
"Rabat-Salé-Kénitra, Morocco",,,,,,,,,,,
"Nusa Tenggara Barat, Indonesia",,,,,,,,,,,
"Valenciana, Comunidad, Spain",,,,,,,,,,,
"Tahoua, Niger",,,,,,,,,,,
"Alabama, USA",0.18425447985341892,0.0038838840737961894,0.3891523780991572,0.33222465465620676,0.09048460331742096,0.31391983060816414,,0.562145547174846,,0.12393462221698988,
"Kalimantan Barat, Indonesia",,,,,,,,,,,
"British Columbia, Canada",,,,,,,0.3542640299644819,,0.5334526097929396,,0.1122833602425784
"Bago, Myanmar",,,,,,,,,,,
"Provence-Alpes-Côte d'Azur, France",,,,,,,,,,,
"Marrakech-Safi, Morocco",,,,,,,,,,,
"Asyūţ, Egypt",,,,,,,,,,,
"Veneto, Italy",,,,,,,,,,,
"Zamfara, Nigeria",,,,,,,,,,,
"Kebbi, Nigeria",,,,,,,,,,,
"Enugu, Nigeria",,,,,,,,,,,
"Janūb Dārfūr, Sudan",,,,,,,,,,,
"Ituri, Democratic Republic of the Congo",,,,,,,,,,,
"Eşfahān, Iran",,,,,,,,,,,
"Centre, Burkina Faso",,,,,,,,,,,
"Valle del Cauca, Colombia",,,,,,,,,,,
"Kasaï, Democratic Republic of the Congo",,,,,,,,,,,
"Sicilia, Italy",,,,,,,,,,,
"Osun, Nigeria",,,,,,,,,,,
"Adamawa, Nigeria",,,,,,,,,,,
"Ḩalab, Syria",,,,,,,,,,,
"Ondo, Nigeria",,,,,,,,,,,
"Sud-Kivu, Democratic Republic of the Congo",,,,,,,,,,,
"Qinā, Egypt",,,,,,,,,,,
"Aceh, Indonesia",,,,,,,,,,,
"Louisiana, USA",0.18993006056515233,0.0047615583237372245,0.3663222818886594,0.34393617434253954,0.09504992487991154,0.3603383265644505,,0.521831829469662,,0.11782984396588755,
"Fès-Meknès, Morocco",,,,,,,,,,,
"Mpumalanga, South Africa",,,,,,,,,,,
"Toshkent (Province), Uzbekistan",,,,,,,,,,,
"Bali, Indonesia",,,,,,,,,,,
"Maradi, Niger",,,,,,,,,,,
"Littoral, Cameroon",,,,,,,,,,,
"Plateau, Nigeria",,,,,,,,,,,
"Oaxaca, Mexico",,,,,,,,,,,
"Emilia-Romagna, Italy",,,,,,,,,,,
"Kentucky, USA",0.17705554916827668,0.005666693631565759,0.41833315391796544,0.3092460206214758,0.08969858266071624,0.2952438688883871,,0.573849389376716,,0.13090674173489686,
"Edo, Nigeria",,,,,,,,,,,
"Lumbinī, Nepal",,,,,,,,,,,
"Guayas, Ecuador",,,,,,,,,,,
"Śląskie, Poland",,,,,,,,,,,
"Kasaï Oriental, Democratic Republic of the Congo",,,,,,,,,,,
"Tillabéri, Niger",,,,,,,,,,,
"Al Minūfīyah, Egypt",,,,,,,,,,,
"Far North, Cameroon",,,,,,,,,,,
"Kermān, Iran",,,,,,,,,,,
"Piemonte, Italy",,,,,,,,,,,
"Al Jazīrah, Sudan",,,,,,,,,,,
"Amazonas, Brazil",,,,,,,,,,,
"Ozama, Dominican Republic",,,,,,,,,,,
"Alberta, Canada",,,,,,,0.35246512503638633,,0.5422401083557916,,0.10529476660782203
"Oregon, USA",0.1718877540111121,0.009010943055157957,0.4354346772702512,0.2801158700519964,0.10355075561148228,0.3166982750419883,,0.5553649317630053,,0.12793679319500648,
"Kalimantan Selatan, Indonesia",,,,,,,,,,,
"Sverdlovskaya oblast', Russia",,,,,,,,,,,
"Rostovskaya oblast', Russia",,,,,,,,,,,
"Bashkortostan, Respublika, Russia",,,,,,,,,,,
"Nīnawá, Iraq",,,,,,,,,,,
"Tanganyika, Democratic Republic of the Congo",,,,,,,,,,,
"Rheinland-Pfalz, Germany",,,,,,,,,,,
"Sachsen, Germany",,,,,,,,,,,
"Donets'ka oblast, Ukraine",,,,,,,,,,,
"Espírito Santo, Brazil",,,,,,,,,,,
"Paraíba, Brazil",,,,,,,,,,,
"Bulacan, Philippines",,,,,,,,,,,
"Zulia, Venezuela",,,,,,,,,,,
"Tripura, India",,,,,,,,,,,
"Kalimantan Timur, Indonesia",,,,,,,,,,,
"Cavite, Philippines",,,,,,,,,,,
"Abia, Nigeria",,,,,,,,,,,
"Mwanza, Tanzania",,,,,,,,,,,
"Tanger-Tétouan-Al Hoceïma, Morocco",,,,,,,,,,,
"Ekiti, Nigeria",,,,,,,,,,,
"P’yŏngan-namdo [Phyeongannamto], North Korea",,,,,,,,,,,
"Al ‘A̅şimah, Jordan",,,,,,,,,,,
"North-West, South Africa",,,,,,,,,,,
"Kongo Central, Democratic Republic of the Congo",,,,,,,,,,,
"Oklahoma, USA",0.17529141178669877,0.005574772837085864,0.4056540135145792,0.3231888694498854,0.0902909324117508,0.29635738752959134,,0.5738806686129189,,0.12976194385748976,
"İzmir, Turkey",,,,,,,,,,,
"Guerrero, Mexico",,,,,,,,,,,
"Sikasso, Mali",,,,,,,,,,,
"Tatarstan, Respublika, Russia",,,,,,,,,,,
"Tā‘izz, Yemen",,,,,,,,,,,
"Maritime (Région), Togo",,,,,,,,,,,
"Puglia, Italy",,,,,,,,,,,
"Kafr ash Shaykh, Egypt",,,,,,,,,,,
"Sabah, Malaysia",,,,,,,,,,,
"Magway, Myanmar",,,,,,,,,,,
"Samarqand, Uzbekistan",,,,,,,,,,,
"Meghālaya, India",,,,,,,,,,,
"Johor, Malaysia",,,,,,,,,,,
"Farg'ona, Uzbekistan",,,,,,,,,,,
"Pays de la Loire, France",,,,,,,,,,,
"Al Fayyūm, Egypt",,,,,,,,,,,
"Banaadir, Somalia",,,,,,,,,,,
"Eastern Equatoria, South Sudan",,,,,,,,,,,
"Zuid-Holland, Netherlands",,,,,,,,,,,
"Est, Rwanda",,,,,,,,,,,
"Attikí, Greece",,,,,,,,,,,
"Jambi, Indonesia",,,,,,,,,,,
"Yobe, Nigeria",,,,,,,,,,,
"Yogyakarta, Indonesia",,,,,,,,,,,
"Huíla, Angola",,,,,,,,,,,
"Lusaka, Zambia",,,,,,,,,,,
"wallonne, Région, Belgium",,,,,,,,,,,
"Santa Fe, Argentina",,,,,,,,,,,
"Córdoba, Argentina",,,,,,,,,,,
"Rio Grande do Norte, Brazil",,,,,,,,,,,
"Ebonyi, Nigeria",,,,,,,,,,,
"Azad Jammu and Kashmir, Pakistan",,,,,,,,,,,
"Toscana, Italy",,,,,,,,,,,
"Connecticut, USA",0.17733773387279791,0.007163243898360285,0.41329490842931715,0.30789227230438976,0.09431184149513482,0.35185921607822757,,0.5426114964812243,,0.10552928744054811,
"Chihuahua, Mexico",,,,,,,,,,,
"Tamaulipas, Mexico",,,,,,,,,,,
"Dakar, Senegal",,,,,,,,,,,
"Al Ḩudaydah, Yemen",,,,,,,,,,,
"Mato Grosso, Brazil",,,,,,,,,,,
"Ibb, Yemen",,,,,,,,,,,
"Kwilu, Democratic Republic of the Congo",,,,,,,,,,,
"Berlin, Germany",,,,,,,,,,,
"Shamāl Dārfūr, Sudan",,,,,,,,,,,
"Bamako, Mali",,,,,,,,,,,
"Wielkopolskie, Poland",,,,,,,,,,,
"Busan-gwangyeoksi, South Korea",,,,,,,,,,,
"Chelyabinskaya oblast', Russia",,,,,,,,,,,
"Kwara, Nigeria",,,,,,,,,,,
"Baja California, Mexico",,,,,,,,,,,
"Dagestan, Respublika, Russia",,,,,,,,,,,
"Khatlon, Tajikistan",,,,,,,,,,,
"Tete, Mozambique",,,,,,,,,,,
"Gyeongsangnam-do, South Korea",,,,,,,,,,,
"Thanh Hóa, Vietnam",,,,,,,,,,,
"Cross River, Nigeria",,,,,,,,,,,
"Guatemala, Guatemala",,,,,,,,,,,
"Alagoas, Brazil",,,,,,,,,,,
"Laguna, Philippines",,,,,,,,,,,
"Banī Suwayf, Egypt",,,,,,,,,,,
"Małopolskie, Poland",,,,,,,,,,,
"Manipur, India",,,,,,,,,,,
"Pangasinan, Philippines",,,,,,,,,,,
"Hidalgo, Mexico",,,,,,,,,,,
"Piauí, Brazil",,,,,,,,,,,
"Kindia, Guinea",,,,,,,,,,,
"Bretagne, France",,,,,,,,,,,
"Sudūr Pashchim, Nepal",,,,,,,,,,,
"Bursa, Turkey",,,,,,,,,,,
"Santa Cruz, Bolivia",,,,,,,,,,,
"P’yŏngyang [Phyeongyang], North Korea",,,,,,,,,,,
"Puerto Rico, USA",0.19474104536836317,0.0035795805247586365,0.32974656613869996,0.39465091391622964,0.07728189405194859,0.41785416728145724,,0.44578160295662883,,0.1363642297619141,
"Normandie, France",,,,,,,,,,,
"Utah, USA",0.11027242315179038,0.00575112104153965,0.41346425819389526,0.3804219263037018,0.09009027130907303,0.30842096012393116,,0.6021206194268888,,0.08945842044917998,
"Hamgyŏng-namdo [Hamkyeongnamto], North Korea",,,,,,,,,,,
"Taraba, Nigeria",,,,,,,,,,,
"Qashqadaryo, Uzbekistan",,,,,,,,,,,
"Tabora, Tanzania",,,,,,,,,,,
"Ouest, Haiti",,,,,,,,,,,
"Ðồng Nai, Vietnam",,,,,,,,,,,
"Āz̄arbāyjān-e Gharbī, Iran",,,,,,,,,,,
"Al Başrah, Iraq",,,,,,,,,,,
"nohiyahoi tobei jumhurí, Tajikistan",,,,,,,,,,,
"Ségou, Mali",,,,,,,,,,,
"Amānat al ‘Āşimah [city], Yemen",,,,,,,,,,,
"Samarskaya oblast', Russia",,,,,,,,,,,
"Negros Occidental, Philippines",,,,,,,,,,,
"Iowa, USA",0.1737242418427885,0.004515757653919935,0.4507138835327061,0.28947591920958654,0.08157019776099894,0.30896491646741037,,0.5822914180809694,,0.10874366545162016,
"Āz̄arbāyjān-e Sharqī, Iran",,,,,,,,,,,
"Kagera, Tanzania",,,,,,,,,,,
"Xizang Zizhiqu, China",,,,,,,,,,,
"Lomami, Democratic Republic of the Congo",,,,,,,,,,,
"Pichincha, Ecuador",,,,,,,,,,,
"Wales, United Kingdom",,,,,,,,,,,
"Distrito Federal, Brazil",,,,,,,,,,,
"Sulawesi Tengah, Indonesia",,,,,,,,,,,
"Dnipropetrovska oblast, Ukraine",,,,,,,,,,,
"Sonora, Mexico",,,,,,,,,,,
"Māzandarān, Iran",,,,,,,,,,,
"Herāt, Afghanistan",,,,,,,,,,,
"Abū Z̧aby, United Arab Emirates",,,,,,,,,,,
"Eastern, Ghana",,,,,,,,,,,
"La Paz, Bolivia",,,,,,,,,,,
"Sud, Rwanda",,,,,,,,,,,
"Nevada, USA",0.17768476986753273,0.007589471626594633,0.38360075286721496,0.314183793480597,0.11694121215806064,0.33683332440478575,,0.5275467208126066,,0.13561995478260777,
"Batangas, Philippines",,,,,,,,,,,
"Dubayy, United Arab Emirates",,,,,,,,,,,
"Şalāḩ ad Dīn, Iraq",,,,,,,,,,,
"Cundinamarca, Colombia",,,,,,,,,,,
"Andijon, Uzbekistan",,,,,,,,,,,
"Nizhegorodskaya oblast', Russia",,,,,,,,,,,
"Rizal, Philippines",,,,,,,,,,,
"Arkansas, USA",0.17915409475575758,0.004585047563848193,0.4077931473869576,0.31681918553905714,0.0916485247543796,0.2883685039225,,0.5791829186513168,,0.13244857742618318,
"Lilongwe, Malawi",,,,,,,,,,,
"Shamāl Kurdufān, Sudan",,,,,,,,,,,
"Coahuila de Zaragoza, Mexico",,,,,,,,,,,
"Gombe, Nigeria",,,,,,,,,,,
"Lualaba, Democratic Republic of the Congo",,,,,,,,,,,
"Souss-Massa, Morocco",,,,,,,,,,,
"Nghệ An, Vietnam",,,,,,,,,,,
"Wakiso, Uganda",,,,,,,,,,,
"Mississippi, USA",0.18945406244579305,0.003268811713213654,0.3651369539757065,0.34979980354666235,0.09234036831862454,0.3423336307709637,,0.5411691210145346,,0.11649724821450176,
"Sinaloa, Mexico",,,,,,,,,,,
"Morogoro, Tanzania",,,,,,,,,,,
"Koulikoro, Mali",,,,,,,,,,,
"Kansas, USA",0.17019923269985282,0.004727671200733559,0.432295089626921,0.31122448457572527,0.08155352189676739,0.3005698060488468,,0.5849591374744104,,0.11447105647674279,
"Schleswig-Holstein, Germany",,,,,,,,,,,
"Stavropol'skiy kray, Russia",,,,,,,,,,,
"Kyiv, Ukraine",,,,,,,,,,,
