longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Ontario, Canada",,,,0.9122284400048875,0.3615229670626224,0.10221092749390835,,,,,,
"Kano, Nigeria",,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,
"Pennsylvania, USA",0.9168045636028185,0.3188677805212228,0.12719895464048264,,,,0.1415749596350087,0.11481547916172269,0.06247734172448665,0.01051980182793577,0.0130201163681265,0.013675551156020344
"National Capital Region, Philippines",,,,,,,,,,,,
"Illinois, USA",0.9024937256635461,0.34902055569236606,0.13859846205144255,,,,0.151243064440698,0.12369018119849386,0.07408731005317405,0.013557222151797332,0.0204174855417828,0.014199178041162858
"Moskva, Russia",,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,
"Ohio, USA",0.9146896117844018,0.28585941861022596,0.10909280835225212,,,,0.12188214944975576,0.10297821488046967,0.060999054279992485,0.011177713463626948,0.014649193136225536,0.010119312754295895
"Uttarākhand, India",,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,
"Georgia, USA",0.887603545919691,0.31546268078643863,0.12276996330332271,,,,0.13355050875861302,0.10653830398191912,0.07537386804591127,0.025133729100016322,0.023018505454785787,0.019201606653152126
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,
"North Carolina, USA",0.8947578673442417,0.3169113584391897,0.11615286976551993,,,,0.1390163294303016,0.11315712699797867,0.06473790201090916,0.03027199098236588,0.028343950865750422,0.011961188962601357
"Al Qāhirah, Egypt",,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,
"Michigan, USA",0.9189956377453306,0.29456266367299055,0.1155953247503711,,,,0.1319974345295478,0.10029883044141855,0.06226639870203051,0.013931318049264618,0.012809775409558632,0.004175917185518643
"Pernambuco, Brazil",,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,
"New Jersey, USA",0.9073619040437733,0.40485524330583916,0.15965999170325457,,,,0.18668888074553439,0.12910468792309693,0.08906167463720804,0.007212591743663621,0.006697186522196752,-0.001154268069940706
"Azerbaijan, Azerbaijan",,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,
"Virginia, USA",0.911700731754823,0.38820003031343236,0.1691240971425138,,,,0.18807213798503716,0.1272157508781347,0.07291214145025855,0.013423428843182372,0.010859250777708551,-0.00488795831855271
"Katsina, Nigeria",,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,
"Quebec, Canada",,,,0.8807726838936385,0.2862389760652672,0.07971238747421976,,,,,,
"Lampung, Indonesia",,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,
"Washington, USA",0.9222005417924841,0.35893969334831083,0.13686213445778603,,,,0.1828780528025122,0.11750332023030927,0.05855832031548786,0.011198738853395174,0.0092729570144513,0.0031865820132317424
"Jakarta Raya, Indonesia",,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,
"Arizona, USA",0.887533170550811,0.30008291634358986,0.11479799877030407,,,,0.13174829070325303,0.10421552951677128,0.06411909612355828,0.013546945415765843,0.003549028876132787,0.00025925821086381085
"Ningxia Zizhiiqu, China",,,,,,,,,,,,
"Massachusetts, USA",0.9140759955814075,0.43963395093975555,0.19843998755416867,,,,0.21749991380033307,0.1441703972605083,0.07796363987891403,0.007181739283853572,0.015614016823785493,0.014057876917967782
"Ashanti, Ghana",,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,
"Tennessee, USA",0.8936662941243104,0.2747375218624894,0.10207235616777316,,,,0.11282917480252022,0.10079426986844393,0.06111407719151964,0.021372756096270873,0.019782897360024032,0.012832818298013346
"Tigray, Ethiopia",,,,,,,,,,,,
"Indiana, USA",0.9027942433116141,0.2645671422250567,0.09611692048920453,,,,0.11137202649346609,0.0984220952265161,0.054773020505078485,0.013813685477383153,0.018140060387236145,0.00793253154152658
"Akwa Ibom, Nigeria",,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,,
"Maryland, USA",0.9104531988373719,0.40328612111684403,0.18956512963371386,,,,0.20342229659828825,0.12769558652100071,0.07216823799755193,0.01753644843308022,0.021931249811718623,0.015303747488413927
"Missouri, USA",0.9138177351391401,0.2933768409228892,0.1130506057716763,,,,0.1193114520900009,0.10887574640725771,0.06518964242563133,0.013834602512036387,0.021583407415121658,0.015375065602727722
"Antioquia, Colombia",,,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,,
"Wisconsin, USA",0.9315413215664665,0.30432774431203996,0.10428917364124328,,,,0.13281112401713946,0.11110375668154679,0.060412863613355634,0.017482570369921735,0.03793821035530215,0.013477046517379077
"Ankara, Turkey",,,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,,
"Colorado, USA",0.926510169328275,0.4122023627633271,0.15526835204518466,,,,0.19644754333925185,0.1343935927780411,0.08136122664603952,0.009597999256470646,0.020403170433005158,0.008292258302374983
"Abidjan, Ivory Coast",,,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,,
"Minnesota, USA",0.9375498815024373,0.364564960518538,0.1262866173574518,,,,0.16124798738269092,0.13094116649436083,0.07237580664149149,0.009338166443330076,0.028644445679189723,0.012278680922854238
"Baghdād, Iraq",,,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,,
"Kasaï Central, Democratic Republic of the Congo",,,,,,,,,,,,
"Nusa Tenggara Timur, Indonesia",,,,,,,,,,,,
"Grand Est, France",,,,,,,,,,,,
"Scotland, United Kingdom",,,,,,,,,,,,
"Imo, Nigeria",,,,,,,,,,,,
"Khūzestān, Iran",,,,,,,,,,,,
"Ādīs Ābeba, Ethiopia",,,,,,,,,,,,
"Sumatera Barat, Indonesia",,,,,,,,,,,,
"Hokkaidô, Japan",,,,,,,,,,,,
"Mazowieckie, Poland",,,,,,,,,,,,
"Greater Accra, Ghana",,,,,,,,,,,,
"Hyôgo, Japan",,,,,,,,,,,,
"Cebu, Philippines",,,,,,,,,,,,
"Zinder, Niger",,,,,,,,,,,,
"Sūhāj, Egypt",,,,,,,,,,,,
"Sokoto, Nigeria",,,,,,,,,,,,
"Nuevo León, Mexico",,,,,,,,,,,,
"Queensland, Australia",,,,,,,,,,,,
"Sankt-Peterburg, Russia",,,,,,,,,,,,
"Koshi, Nepal",,,,,,,,,,,,
"Nairobi City, Kenya",,,,,,,,,,,,
"Michoacán de Ocampo, Mexico",,,,,,,,,,,,
"South Carolina, USA",0.8925997381238948,0.2856444071750278,0.1071239000222058,,,,0.12025993227655987,0.10126166951349858,0.06412280538497087,0.025410914997139322,0.01649982443077974,0.01630475195849458
"Sīdama, Ethiopia",,,,,,,,,,,,
"Analamanga, Madagascar",,,,,,,,,,,,
"Hukuoka, Japan",,,,,,,,,,,,
"Rabat-Salé-Kénitra, Morocco",,,,,,,,,,,,
"Nusa Tenggara Barat, Indonesia",,,,,,,,,,,,
"Valenciana, Comunidad, Spain",,,,,,,,,,,,
"Tahoua, Niger",,,,,,,,,,,,
"Alabama, USA",0.8802293182746013,0.2535483159022055,0.0965819407844339,,,,0.1017437936611075,0.0923137112126679,0.05949081102843425,0.02559919684167622,0.018798718335107822,0.009815081484066665
"Kalimantan Barat, Indonesia",,,,,,,,,,,,
"British Columbia, Canada",,,,0.9199145552727901,0.3431729518517684,0.09321924965225353,,,,,,
"Bago, Myanmar",,,,,,,,,,,,
"Provence-Alpes-Côte d'Azur, France",,,,,,,,,,,,
"Marrakech-Safi, Morocco",,,,,,,,,,,,
"Asyūţ, Egypt",,,,,,,,,,,,
"Veneto, Italy",,,,,,,,,,,,
"Zamfara, Nigeria",,,,,,,,,,,,
"Kebbi, Nigeria",,,,,,,,,,,,
"Enugu, Nigeria",,,,,,,,,,,,
"Janūb Dārfūr, Sudan",,,,,,,,,,,,
"Ituri, Democratic Republic of the Congo",,,,,,,,,,,,
"Eşfahān, Iran",,,,,,,,,,,,
"Centre, Burkina Faso",,,,,,,,,,,,
"Valle del Cauca, Colombia",,,,,,,,,,,,
"Kasaï, Democratic Republic of the Congo",,,,,,,,,,,,
"Sicilia, Italy",,,,,,,,,,,,
"Osun, Nigeria",,,,,,,,,,,,
"Adamawa, Nigeria",,,,,,,,,,,,
"Ḩalab, Syria",,,,,,,,,,,,
"Ondo, Nigeria",,,,,,,,,,,,
"Sud-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,
"Qinā, Egypt",,,,,,,,,,,,
"Aceh, Indonesia",,,,,,,,,,,,
"Louisiana, USA",0.8694257319384181,0.24205585366459165,0.08732325723423508,,,,0.09917590117831672,0.09516239369495293,0.04771755879132129,0.034662980047696634,0.04429244025582907,0.020298558772990652
"Fès-Meknès, Morocco",,,,,,,,,,,,
"Mpumalanga, South Africa",,,,,,,,,,,,
"Toshkent (Province), Uzbekistan",,,,,,,,,,,,
"Bali, Indonesia",,,,,,,,,,,,
"Maradi, Niger",,,,,,,,,,,,
"Littoral, Cameroon",,,,,,,,,,,,
"Plateau, Nigeria",,,,,,,,,,,,
"Oaxaca, Mexico",,,,,,,,,,,,
"Emilia-Romagna, Italy",,,,,,,,,,,,
"Kentucky, USA",0.8840474409891509,0.24148080880995562,0.09942282051283907,,,,0.09985517200106872,0.09485849861178226,0.04676713819710494,0.02493247034310042,0.026671309980577707,0.02634650537492883
"Edo, Nigeria",,,,,,,,,,,,
"Lumbinī, Nepal",,,,,,,,,,,,
"Guayas, Ecuador",,,,,,,,,,,,
"Śląskie, Poland",,,,,,,,,,,,
"Kasaï Oriental, Democratic Republic of the Congo",,,,,,,,,,,,
"Tillabéri, Niger",,,,,,,,,,,,
"Al Minūfīyah, Egypt",,,,,,,,,,,,
"Far North, Cameroon",,,,,,,,,,,,
"Kermān, Iran",,,,,,,,,,,,
"Piemonte, Italy",,,,,,,,,,,,
"Al Jazīrah, Sudan",,,,,,,,,,,,
"Amazonas, Brazil",,,,,,,,,,,,
"Ozama, Dominican Republic",,,,,,,,,,,,
"Alberta, Canada",,,,0.9006820861298821,0.3040419276029877,0.07290652064576289,,,,,,
"Oregon, USA",0.918521055294267,0.3358199100495481,0.12782671644541344,,,,0.16413911303645098,0.12076556831353888,0.05091522869955747,0.01853313379787025,0.01902345280280937,0.008882424086971957
"Kalimantan Selatan, Indonesia",,,,,,,,,,,,
"Sverdlovskaya oblast', Russia",,,,,,,,,,,,
"Rostovskaya oblast', Russia",,,,,,,,,,,,
"Bashkortostan, Respublika, Russia",,,,,,,,,,,,
"Nīnawá, Iraq",,,,,,,,,,,,
"Tanganyika, Democratic Republic of the Congo",,,,,,,,,,,,
"Rheinland-Pfalz, Germany",,,,,,,,,,,,
"Sachsen, Germany",,,,,,,,,,,,
"Donets'ka oblast, Ukraine",,,,,,,,,,,,
"Espírito Santo, Brazil",,,,,,,,,,,,
"Paraíba, Brazil",,,,,,,,,,,,
"Bulacan, Philippines",,,,,,,,,,,,
"Zulia, Venezuela",,,,,,,,,,,,
"Tripura, India",,,,,,,,,,,,
"Kalimantan Timur, Indonesia",,,,,,,,,,,,
"Cavite, Philippines",,,,,,,,,,,,
"Abia, Nigeria",,,,,,,,,,,,
"Mwanza, Tanzania",,,,,,,,,,,,
"Tanger-Tétouan-Al Hoceïma, Morocco",,,,,,,,,,,,
"Ekiti, Nigeria",,,,,,,,,,,,
"P’yŏngan-namdo [Phyeongannamto], North Korea",,,,,,,,,,,,
"Al ‘A̅şimah, Jordan",,,,,,,,,,,,
"North-West, South Africa",,,,,,,,,,,,
"Kongo Central, Democratic Republic of the Congo",,,,,,,,,,,,
"Oklahoma, USA",0.8928691775206866,0.25567061996484036,0.08869466243023168,,,,0.09997989908721581,0.0975565787874924,0.05813414209013244,0.018327889340967185,0.020165583409301746,0.004453035259191954
"İzmir, Turkey",,,,,,,,,,,,
"Guerrero, Mexico",,,,,,,,,,,,
"Sikasso, Mali",,,,,,,,,,,,
"Tatarstan, Respublika, Russia",,,,,,,,,,,,
"Tā‘izz, Yemen",,,,,,,,,,,,
"Maritime (Région), Togo",,,,,,,,,,,,
"Puglia, Italy",,,,,,,,,,,,
"Kafr ash Shaykh, Egypt",,,,,,,,,,,,
"Sabah, Malaysia",,,,,,,,,,,,
"Magway, Myanmar",,,,,,,,,,,,
"Samarqand, Uzbekistan",,,,,,,,,,,,
"Meghālaya, India",,,,,,,,,,,,
"Johor, Malaysia",,,,,,,,,,,,
"Farg'ona, Uzbekistan",,,,,,,,,,,,
"Pays de la Loire, France",,,,,,,,,,,,
"Al Fayyūm, Egypt",,,,,,,,,,,,
"Banaadir, Somalia",,,,,,,,,,,,
"Eastern Equatoria, South Sudan",,,,,,,,,,,,
"Zuid-Holland, Netherlands",,,,,,,,,,,,
"Est, Rwanda",,,,,,,,,,,,
"Attikí, Greece",,,,,,,,,,,,
"Jambi, Indonesia",,,,,,,,,,,,
"Yobe, Nigeria",,,,,,,,,,,,
"Yogyakarta, Indonesia",,,,,,,,,,,,
"Huíla, Angola",,,,,,,,,,,,
"Lusaka, Zambia",,,,,,,,,,,,
"wallonne, Région, Belgium",,,,,,,,,,,,
"Santa Fe, Argentina",,,,,,,,,,,,
"Córdoba, Argentina",,,,,,,,,,,,
"Rio Grande do Norte, Brazil",,,,,,,,,,,,
"Ebonyi, Nigeria",,,,,,,,,,,,
"Azad Jammu and Kashmir, Pakistan",,,,,,,,,,,,
"Toscana, Italy",,,,,,,,,,,,
"Connecticut, USA",0.9131984535977369,0.39344751768300096,0.1768285587788334,,,,0.1781359616567992,0.1369675303513311,0.07834402567486702,0.015422929206664326,0.020614351812605014,0.016598401633267756
"Chihuahua, Mexico",,,,,,,,,,,,
"Tamaulipas, Mexico",,,,,,,,,,,,
"Dakar, Senegal",,,,,,,,,,,,
"Al Ḩudaydah, Yemen",,,,,,,,,,,,
"Mato Grosso, Brazil",,,,,,,,,,,,
"Ibb, Yemen",,,,,,,,,,,,
"Kwilu, Democratic Republic of the Congo",,,,,,,,,,,,
"Berlin, Germany",,,,,,,,,,,,
"Shamāl Dārfūr, Sudan",,,,,,,,,,,,
"Bamako, Mali",,,,,,,,,,,,
"Wielkopolskie, Poland",,,,,,,,,,,,
"Busan-gwangyeoksi, South Korea",,,,,,,,,,,,
"Chelyabinskaya oblast', Russia",,,,,,,,,,,,
"Kwara, Nigeria",,,,,,,,,,,,
"Baja California, Mexico",,,,,,,,,,,,
"Dagestan, Respublika, Russia",,,,,,,,,,,,
"Khatlon, Tajikistan",,,,,,,,,,,,
"Tete, Mozambique",,,,,,,,,,,,
"Gyeongsangnam-do, South Korea",,,,,,,,,,,,
"Thanh Hóa, Vietnam",,,,,,,,,,,,
"Cross River, Nigeria",,,,,,,,,,,,
"Guatemala, Guatemala",,,,,,,,,,,,
"Alagoas, Brazil",,,,,,,,,,,,
"Laguna, Philippines",,,,,,,,,,,,
"Banī Suwayf, Egypt",,,,,,,,,,,,
"Małopolskie, Poland",,,,,,,,,,,,
"Manipur, India",,,,,,,,,,,,
"Pangasinan, Philippines",,,,,,,,,,,,
"Hidalgo, Mexico",,,,,,,,,,,,
"Piauí, Brazil",,,,,,,,,,,,
"Kindia, Guinea",,,,,,,,,,,,
"Bretagne, France",,,,,,,,,,,,
"Sudūr Pashchim, Nepal",,,,,,,,,,,,
"Bursa, Turkey",,,,,,,,,,,,
"Santa Cruz, Bolivia",,,,,,,,,,,,
"P’yŏngyang [Phyeongyang], North Korea",,,,,,,,,,,,
"Puerto Rico, USA",0.7883559983408146,0.26823125164822387,0.07672408777364849,,,,0.10369043951138854,0.08617833373750501,0.07836247839932807,0.04765861241314351,0.09316338173115735,0.02484197686739649
"Normandie, France",,,,,,,,,,,,
"Utah, USA",0.9330860857054417,0.34383327753091625,0.11610235526595511,,,,0.1502928238092969,0.1274784731448978,0.06606198057671873,0.009320338005870399,-0.03969763492494238,-0.04511714976585271
"Hamgyŏng-namdo [Hamkyeongnamto], North Korea",,,,,,,,,,,,
"Taraba, Nigeria",,,,,,,,,,,,
"Qashqadaryo, Uzbekistan",,,,,,,,,,,,
"Tabora, Tanzania",,,,,,,,,,,,
"Ouest, Haiti",,,,,,,,,,,,
"Ðồng Nai, Vietnam",,,,,,,,,,,,
"Āz̄arbāyjān-e Gharbī, Iran",,,,,,,,,,,,
"Al Başrah, Iraq",,,,,,,,,,,,
"nohiyahoi tobei jumhurí, Tajikistan",,,,,,,,,,,,
"Ségou, Mali",,,,,,,,,,,,
"Amānat al ‘Āşimah [city], Yemen",,,,,,,,,,,,
"Samarskaya oblast', Russia",,,,,,,,,,,,
"Negros Occidental, Philippines",,,,,,,,,,,,
"Iowa, USA",0.9308526882730463,0.28575564470861387,0.09341920705213758,,,,0.11602889865730837,0.11050682465543145,0.059219921395869804,0.013474128140421149,0.031228437031953993,0.0096011788911987
"Āz̄arbāyjān-e Sharqī, Iran",,,,,,,,,,,,
"Kagera, Tanzania",,,,,,,,,,,,
"Xizang Zizhiqu, China",,,,,,,,,,,,
"Lomami, Democratic Republic of the Congo",,,,,,,,,,,,
"Pichincha, Ecuador",,,,,,,,,,,,
"Wales, United Kingdom",,,,,,,,,,,,
"Distrito Federal, Brazil",,,,,,,,,,,,
"Sulawesi Tengah, Indonesia",,,,,,,,,,,,
"Dnipropetrovska oblast, Ukraine",,,,,,,,,,,,
"Sonora, Mexico",,,,,,,,,,,,
"Māzandarān, Iran",,,,,,,,,,,,
"Herāt, Afghanistan",,,,,,,,,,,,
"Abū Z̧aby, United Arab Emirates",,,,,,,,,,,,
"Eastern, Ghana",,,,,,,,,,,,
"La Paz, Bolivia",,,,,,,,,,,,
"Sud, Rwanda",,,,,,,,,,,,
"Nevada, USA",0.8754890756119738,0.24996578623237817,0.08696188087808322,,,,0.10704468272734846,0.08445589233584436,0.05846521116918538,0.004017282351359119,0.008427092956841076,0.0018057351102519908
"Batangas, Philippines",,,,,,,,,,,,
"Dubayy, United Arab Emirates",,,,,,,,,,,,
