longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,,,,,,,,
"Florida, USA",0.8536333440178401,0.007274191813469564,0.013413147703049804,0.013978960261296214,0.0986731556844014,0.20121646851960817,,0.3716031919533182,,0.342682633572853,,0.08449770595422053,,0.059957402655040265,0.9400425973449598,0.5520439476960117,0.00014376555233233733,3.978499571665858e-05,30961.0,8568.0
"Minas Gerais, Brazil",,,,,,,,,,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,,,,,,,,
"New York, USA",0.5831334616530466,0.008029874630157677,0.05815545610418966,0.24721479107835287,0.0953016929296736,0.19821264953035392,,0.2938756974330066,,0.3301161934961077,,0.1777954595405318,,0.28898035651929616,0.7110196434807039,0.38279014060239214,5.03750655306535e-05,1.594517355289258e-05,10176.0,3221.0
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,,,,,,,,,
"Ontario, Canada",,,,,,,0.28493196396831194,,0.3396508390746872,,0.28688080015754464,,0.08853639679945613,,,,,,,
"Kano, Nigeria",,,,,,,,,,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,,,,,,,,,
"Pennsylvania, USA",0.8074486995015621,0.005179523860520061,0.03352561262045391,0.0469636670045748,0.09761316355213011,0.2619152620994852,,0.356319376199007,,0.2935201589070798,,0.08824520279442813,,0.10592906181168173,0.8940709381883185,0.5533104181161342,9.006563924723858e-05,1.431236910930843e-05,11711.0,1861.0
"National Capital Region, Philippines",,,,,,,,,,,,,,,,,,,,
"Illinois, USA",0.7795310018015439,0.006203222416975374,0.027607284383926043,0.07855270740980896,0.09904083128920772,0.23909401770129463,,0.32099680541791387,,0.32993747137462515,,0.10997170550616636,,0.10667548499862958,0.8933245150013704,0.5458499965991913,8.512528365336955e-05,1.492522167310798e-05,10905.0,1912.0
"Moskva, Russia",,,,,,,,,,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,,,,,,,,,
"Ohio, USA",0.8745654268612187,0.0034990063416798964,0.02059204825305846,0.01283251914628815,0.08088270647065156,0.2883610325949607,,0.404040106611322,,0.2559049540735431,,0.05169390672017409,,0.07512267400090078,0.9248773259990991,0.5943794280654688,9.727394782973659e-05,1.3289670662806221e-05,11477.0,1568.0
"Uttarākhand, India",,,,,,,,,,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,,,,,,,,,
"Georgia, USA",0.8540150738962755,0.0029929826158360843,0.013822025178190816,0.016599048652344395,0.1012691432220496,0.22081366146183926,,0.35636028177236917,,0.31766606724165874,,0.10515998952413295,,0.060795188446214704,0.9392048115537853,0.6170318771125574,0.00014090193858027272,2.5560823417000375e-05,15093.0,2738.0
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,,,,,,,,,
"North Carolina, USA",0.8603031580481366,0.002596954124882258,0.01641572825428572,0.008701783839757832,0.10285562581358194,0.2651625116755528,,0.3954783343015879,,0.27440267353707953,,0.06495648048577968,,0.05476061611864483,0.9452393838813552,0.6322436298297532,0.00013594054330424808,2.2263976225445557e-05,14190.0,2324.0
"Al Qāhirah, Egypt",,,,,,,,,,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,,,,,,,,,
"Michigan, USA",0.8723093170752886,0.0043303550084026945,0.02113982653141321,0.011795056216465906,0.08330689567304392,0.28156517413147625,,0.38707146264447073,,0.2683362706754656,,0.06302709254858745,,0.07265020362289304,0.927349796377107,0.5883676314137687,0.00010141991855838616,1.9204182641205326e-05,10219.0,1935.0
"Pernambuco, Brazil",,,,,,,,,,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,,,,,,,,,
"New Jersey, USA",0.7537861620658419,0.0031176100148974616,0.025796094336667286,0.09758485656734502,0.1062920486629859,0.21117497672533547,,0.32125264912109225,,0.3174886655669786,,0.1500837085865938,,0.11314259547144226,0.8868574045285578,0.5460016550971142,6.397183258414228e-05,2.062774002544877e-05,5942.0,1916.0
"Azerbaijan, Azerbaijan",,,,,,,,,,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,,,,,,,,,
"Virginia, USA",0.8145830205996589,0.004626672679755222,0.02230971244252914,0.034385549688501826,0.11414315082043941,0.22208379860699323,,0.36341320432968777,,0.31544635281194827,,0.09905664425137063,,0.06035908575530497,0.9396409142446949,0.6391633806620499,9.553850476331163e-05,1.4656343502981957e-05,8246.0,1265.0
"Katsina, Nigeria",,,,,,,,,,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,,,,,,,,,
"Quebec, Canada",,,,,,,0.31723768363659244,,0.3502705765930591,,0.27095999211845867,,0.06153174765188977,,,,,,,
"Lampung, Indonesia",,,,,,,,,,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,,,,,,,,,
"Washington, USA",0.7705383408828043,0.009256237811520216,0.03287327223013105,0.051978200283520126,0.12621711451854387,0.24464563151375623,,0.35589042814547506,,0.3004127302886548,,0.09905121005211395,,0.06774201366013446,0.9322579863398656,0.6399035696515936,7.260921755455686e-05,1.4771056413494046e-05,5594.0,1138.0
"Jakarta Raya, Indonesia",,,,,,,,,,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,,,,,,,,,
"Arizona, USA",0.8297932587185828,0.009750586320264739,0.017865208388584675,0.013870419284345951,0.11714499355252235,0.24918550505821396,,0.3813595179959533,,0.29932385860110916,,0.07013111834472362,,0.05582068873513474,0.9441793112648653,0.5990172744607312,0.00013309092271805278,3.304200991623858e-05,9518.0,2363.0
"Ningxia Zizhiiqu, China",,,,,,,,,,,,,,,,,,,,
"Massachusetts, USA",0.733293251911727,0.00818309360254051,0.04561993332180255,0.08351534524308828,0.11893502952180335,0.22477531451772895,,0.3201496508680184,,0.331422127645689,,0.12365290696856353,,0.12071581195543268,0.8792841880445672,0.5271894033398148,5.0997314814933386e-05,1.1909808175250906e-05,3584.0,837.0
"Ashanti, Ghana",,,,,,,,,,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,,,,,,,,,
"Tennessee, USA",0.8909373692234381,0.0018181333494219434,0.012285198404652574,0.005409674305790477,0.08030246497712605,0.24722327080160839,,0.3932280202377286,,0.2913548267197032,,0.06819388224095971,,0.0536150563953345,0.9463849436046654,0.6393569038926109,0.00015934380219605627,2.1155161533838924e-05,11012.0,1462.0
"Tigray, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Indiana, USA",0.8901673384327781,0.0046216714025811515,0.020303495713218454,0.007711251993505362,0.06989545032369517,0.3029105907149963,,0.3790126228759852,,0.2580872779399387,,0.05998950846907986,,0.06114054122688434,0.9388594587731156,0.624117239514861,0.00012551712998605267,1.7154155137227346e-05,8517.0,1164.0
"Akwa Ibom, Nigeria",,,,,,,,,,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,,,,,,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Guanajuato, Mexico",,,,,,,,,,,,,,,,,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,,,,,,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Qinghai Sheng, China",,,,,,,,,,,,,,,,,,,,
"Puebla, Mexico",,,,,,,,,,,,,,,,,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Borno, Nigeria",,,,,,,,,,,,,,,,,,,,
"Hessen, Germany",,,,,,,,,,,,,,,,,,,,
"Tiba, Japan",,,,,,,,,,,,,,,,,,,,
"Maryland, USA",0.7834346111582186,0.0035844685627967974,0.019985183948713136,0.06386561391749725,0.11870829544980556,0.1707091756926413,,0.31576113699665137,,0.3659718164368846,,0.1475578708738226,,0.0866382035379974,0.9133617964620027,0.5895971517953124,8.498960536655126e-05,2.1125987619685603e-05,5250.0,1305.0
"Missouri, USA",0.8754692585812818,0.003012789435413336,0.019225169347096907,0.010449260690646328,0.08385877110778374,0.2894421204619979,,0.3890635727324968,,0.2679007025665292,,0.053593604238975974,,0.06489258557741473,0.9351074144225853,0.6107105244349742,0.0001483528383223765,1.8196821697630236e-05,9131.0,1120.0
"Antioquia, Colombia",,,,,,,,,,,,,,,,,,,,
"Sagaing, Myanmar",,,,,,,,,,,,,,,,,,,,
"Chiapas, Mexico",,,,,,,,,,,,,,,,,,,,
"Kābul, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Madhesh, Nepal",,,,,,,,,,,,,,,,,,,,
"Occitanie, France",,,,,,,,,,,,,,,,,,,,
"Nampula, Mozambique",,,,,,,,,,,,,,,,,,,,
"Nouvelle-Aquitaine, France",,,,,,,,,,,,,,,,,,,,
"Haut-Lomami, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Al Minyā, Egypt",,,,,,,,,,,,,,,,,,,,
"Niger, Nigeria",,,,,,,,,,,,,,,,,,,,
"Wisconsin, USA",0.8594650252103636,0.006550816405243827,0.028392180292435162,0.013584884164186331,0.08493253539400153,0.3407867212869785,,0.38397035780599703,,0.22751204855431728,,0.04773087235270731,,0.06298894355975167,0.9370110564402483,0.6163660060106444,9.867132234673832e-05,1.1114310599675598e-05,5815.0,655.0
"Ankara, Turkey",,,,,,,,,,,,,,,,,,,,
"Hauts-de-France, France",,,,,,,,,,,,,,,,,,,,
"Zambézia, Mozambique",,,,,,,,,,,,,,,,,,,,
"Centre, Cameroon",,,,,,,,,,,,,,,,,,,,
"Lazio, Italy",,,,,,,,,,,,,,,,,,,,
"Limpopo, South Africa",,,,,,,,,,,,,,,,,,,,
"Jigawa, Nigeria",,,,,,,,,,,,,,,,,,,,
"Benue, Nigeria",,,,,,,,,,,,,,,,,,,,
"Colorado, USA",0.7889687309394218,0.01162870461576406,0.026232084114059917,0.02492570071114418,0.1399496167187361,0.2570561379245289,,0.37420751544107345,,0.2962540665419886,,0.07248228009240909,,0.049803381717752615,0.9501966182822473,0.6548427884112658,0.00010528751510726023,1.6956156816911956e-05,6079.0,979.0
"Abidjan, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Mandalay, Myanmar",,,,,,,,,,,,,,,,,,,,
"Campania, Italy",,,,,,,,,,,,,,,,,,,,
"Minnesota, USA",0.8174708017686343,0.006456615108886598,0.025693677634337213,0.028207714812549717,0.11444740400477761,0.3068238212762072,,0.3803516419141867,,0.25847340001131436,,0.054351136798291656,,0.0650236912444502,0.9349763087555496,0.6376770755938986,6.964194681310987e-05,8.990014774817654e-06,3974.0,513.0
"Baghdād, Iraq",,,,,,,,,,,,,,,,,,,,
"Kogi, Nigeria",,,,,,,,,,,,,,,,,,,,
"Krasnodyarskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Papua, Indonesia",,,,,,,,,,,,,,,,,,,,
"Ash Sharqīyah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Al Gharbīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Kasaï Central, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Nusa Tenggara Timur, Indonesia",,,,,,,,,,,,,,,,,,,,
"Grand Est, France",,,,,,,,,,,,,,,,,,,,
"Scotland, United Kingdom",,,,,,,,,,,,,,,,,,,,
"Imo, Nigeria",,,,,,,,,,,,,,,,,,,,
"Khūzestān, Iran",,,,,,,,,,,,,,,,,,,,
"Ādīs Ābeba, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Sumatera Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"Hokkaidô, Japan",,,,,,,,,,,,,,,,,,,,
"Mazowieckie, Poland",,,,,,,,,,,,,,,,,,,,
"Greater Accra, Ghana",,,,,,,,,,,,,,,,,,,,
"Hyôgo, Japan",,,,,,,,,,,,,,,,,,,,
"Cebu, Philippines",,,,,,,,,,,,,,,,,,,,
"Zinder, Niger",,,,,,,,,,,,,,,,,,,,
"Sūhāj, Egypt",,,,,,,,,,,,,,,,,,,,
"Sokoto, Nigeria",,,,,,,,,,,,,,,,,,,,
"Nuevo León, Mexico",,,,,,,,,,,,,,,,,,,,
"Queensland, Australia",,,,,,,,,,,,,,,,,,,,
"Sankt-Peterburg, Russia",,,,,,,,,,,,,,,,,,,,
"Koshi, Nepal",,,,,,,,,,,,,,,,,,,,
"Nairobi City, Kenya",,,,,,,,,,,,,,,,,,,,
"Michoacán de Ocampo, Mexico",,,,,,,,,,,,,,,,,,,,
"South Carolina, USA",0.8917776634272893,0.0030606993008548706,0.018563353868510407,0.004786735850160252,0.07172087234186098,0.24985732753365766,,0.39473145209178834,,0.29110541008689944,,0.06430581028765468,,0.05845537766857624,0.9415446223314238,0.6195896714360014,0.00019480552465420115,3.3682150687377676e-05,9971.0,1724.0
"Sīdama, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Analamanga, Madagascar",,,,,,,,,,,,,,,,,,,,
"Hukuoka, Japan",,,,,,,,,,,,,,,,,,,,
"Rabat-Salé-Kénitra, Morocco",,,,,,,,,,,,,,,,,,,,
"Nusa Tenggara Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"Valenciana, Comunidad, Spain",,,,,,,,,,,,,,,,,,,,
"Tahoua, Niger",,,,,,,,,,,,,,,,,,,,
"Alabama, USA",0.9208332318568612,0.0017907920565403959,0.010754839655266165,0.0033060997202651117,0.05623745843151415,0.2590400957943586,,0.3901306922796049,,0.28213027294956716,,0.06869893897646943,,0.05604394912057032,0.9439560508794298,0.6285502618309328,0.00018564201245734133,2.294899114005732e-05,9327.0,1153.0
"Kalimantan Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"British Columbia, Canada",,,,,,,0.31975421585220026,,0.34240792002661474,,0.2684988916333752,,0.06933897248780983,,,,,,,
"Bago, Myanmar",,,,,,,,,,,,,,,,,,,,
"Provence-Alpes-Côte d'Azur, France",,,,,,,,,,,,,,,,,,,,
"Marrakech-Safi, Morocco",,,,,,,,,,,,,,,,,,,,
"Asyūţ, Egypt",,,,,,,,,,,,,,,,,,,,
"Veneto, Italy",,,,,,,,,,,,,,,,,,,,
"Zamfara, Nigeria",,,,,,,,,,,,,,,,,,,,
"Kebbi, Nigeria",,,,,,,,,,,,,,,,,,,,
"Enugu, Nigeria",,,,,,,,,,,,,,,,,,,,
"Janūb Dārfūr, Sudan",,,,,,,,,,,,,,,,,,,,
"Ituri, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Eşfahān, Iran",,,,,,,,,,,,,,,,,,,,
"Centre, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Valle del Cauca, Colombia",,,,,,,,,,,,,,,,,,,,
"Kasaï, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Sicilia, Italy",,,,,,,,,,,,,,,,,,,,
"Osun, Nigeria",,,,,,,,,,,,,,,,,,,,
"Adamawa, Nigeria",,,,,,,,,,,,,,,,,,,,
"Ḩalab, Syria",,,,,,,,,,,,,,,,,,,,
"Ondo, Nigeria",,,,,,,,,,,,,,,,,,,,
"Sud-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Qinā, Egypt",,,,,,,,,,,,,,,,,,,,
"Aceh, Indonesia",,,,,,,,,,,,,,,,,,,,
"Louisiana, USA",0.9013405758369069,0.005144738238110655,0.01829406292092845,0.010368317267181147,0.05273444450238643,0.2795265546538264,,0.37790530301254915,,0.2593462692113437,,0.08322187312228065,,0.08286556373263339,0.9171344362673666,0.5499590837981482,0.00016997499218505784,3.503842203435826e-05,7917.0,1632.0
"Fès-Meknès, Morocco",,,,,,,,,,,,,,,,,,,,
"Mpumalanga, South Africa",,,,,,,,,,,,,,,,,,,,
"Toshkent (Province), Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Bali, Indonesia",,,,,,,,,,,,,,,,,,,,
"Maradi, Niger",,,,,,,,,,,,,,,,,,,,
"Littoral, Cameroon",,,,,,,,,,,,,,,,,,,,
"Plateau, Nigeria",,,,,,,,,,,,,,,,,,,,
"Oaxaca, Mexico",,,,,,,,,,,,,,,,,,,,
"Emilia-Romagna, Italy",,,,,,,,,,,,,,,,,,,,
"Kentucky, USA",0.8921957394488648,0.002321337180088674,0.02093755045718789,0.008384433157544117,0.06671012274316379,0.3047810644133653,,0.3937116464836969,,0.24162057047406996,,0.05988671862886789,,0.06856300650093608,0.931436993499064,0.6135386143379444,0.000165981752437961,1.875311950930299e-05,7479.0,845.0
"Edo, Nigeria",,,,,,,,,,,,,,,,,,,,
"Lumbinī, Nepal",,,,,,,,,,,,,,,,,,,,
"Guayas, Ecuador",,,,,,,,,,,,,,,,,,,,
"Śląskie, Poland",,,,,,,,,,,,,,,,,,,,
"Kasaï Oriental, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Tillabéri, Niger",,,,,,,,,,,,,,,,,,,,
"Al Minūfīyah, Egypt",,,,,,,,,,,,,,,,,,,,
"Far North, Cameroon",,,,,,,,,,,,,,,,,,,,
